# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381672462290e-10       4.179500657648e-15       3.519338369753e-13       0.000000000000e+00       8.227220596067e-09       4.534776016547e-10      -1.842191685835e-12 
    3       1.306686952947e-10       5.354349669408e-15       3.955015748580e-13       0.000000000000e+00       5.063979357815e-09       3.216492844263e-10      -1.394828165171e-12 
    4       1.236002193909e-10       4.628865942403e-15       3.698084564212e-13       0.000000000000e+00       3.522791646880e-09       2.436227691702e-10      -9.126930646545e-13 
    5       1.183077352314e-10       3.086039386946e-15       3.148768367912e-13       0.000000000000e+00       2.631691974933e-09       1.924675704323e-10      -5.069102862646e-13 
    6       1.146780750315e-10       1.724512685866e-15       2.535648232077e-13       0.000000000000e+00       2.057604283133e-09       1.566156204584e-10      -2.080922178383e-13 
    7       1.123125381567e-10       9.315387613716e-16       1.990692660936e-13       0.000000000000e+00       1.661566594242e-09       1.303009880835e-10      -1.764403829157e-14 
    8       1.109312159329e-10       6.011014396535e-16       1.571595970765e-13       0.000000000000e+00       1.374523884077e-09       1.103404211519e-10       7.941226048898e-14 
    9       1.102860057993e-10       4.824290770747e-16       1.291091886198e-13       0.000000000000e+00       1.158411344300e-09       9.484872805866e-11       1.064349651088e-13 
   10       1.101461699023e-10       4.107511643914e-16       1.135896193778e-13       0.000000000000e+00       9.908258126910e-10       8.257625629081e-11       8.927683587592e-14 
   11       1.104530088754e-10       3.446473150648e-16       1.079388443251e-13       0.000000000000e+00       8.324874851487e-10       7.295882879253e-11       5.202985433704e-14 
   12       1.110548302727e-10       2.997605793250e-16       1.090992292389e-13       0.000000000000e+00       7.275626601257e-10       6.450946535636e-11       1.227545341639e-14 
   13       1.119013225984e-10       2.870888835210e-16       1.143865251483e-13       0.000000000000e+00       6.414113932332e-10       5.764872253299e-11      -1.798979151957e-14 
   14       1.129451642679e-10       2.986645536769e-16       1.217804800226e-13       0.000000000000e+00       5.697211232125e-10       5.167476829252e-11      -3.451191555899e-14 
   15       1.141729943898e-10       3.227444191948e-16       1.299916490869e-13       0.000000000000e+00       5.093655800933e-10       4.665013899299e-11      -3.750025490046e-14 
   16       1.155095264983e-10       3.568048762114e-16       1.383569759393e-13       0.000000000000e+00       4.580406033222e-10       4.231888326755e-11      -3.091239171770e-14 
   17       1.169823799765e-10       4.063747276023e-16       1.466587125031e-13       0.000000000000e+00       4.140052882648e-10       3.853867637796e-11      -1.994035417923e-14 
   18       1.185283592891e-10       4.768835811474e-16       1.551538133693e-13       0.000000000000e+00       3.757781193284e-10       3.524204930376e-11      -9.473486470856e-15 
   19       1.201587165588e-10       5.686592638485e-16       1.640642517281e-13       0.000000000000e+00       3.427576088780e-10       3.238161914591e-11      -2.117225332284e-15 
