# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381677252450e-10       4.179748049943e-15       3.519338329417e-13       2.473922529437e-19       8.227220596067e-09       4.534776016547e-10      -1.842191685835e-12 
    3       1.306696510320e-10       5.354844549710e-15       3.955015568802e-13       4.948798869988e-19       5.063979357815e-09       3.216492844263e-10      -1.394828165171e-12 
    4       1.236018072492e-10       4.629690954290e-15       3.698084047568e-13       8.250098493508e-19       3.522791646880e-09       2.436227691702e-10      -9.126930646545e-13 
    5       1.183101077217e-10       3.087277297941e-15       3.148767190734e-13       1.237904026124e-18       2.631691974933e-09       1.924675704323e-10      -5.069102862646e-13 
    6       1.146813811965e-10       1.726246415193e-15       2.535645916871e-13       1.733710353203e-18       2.057604283133e-09       1.566156204584e-10      -2.080922178383e-13 
    7       1.123169230775e-10       9.338514054958e-16       1.990688551217e-13       2.312600067784e-18       1.661566594242e-09       1.303009880835e-10      -1.764403829157e-14 
    8       1.109368203346e-10       6.040762951127e-16       1.571589208635e-13       2.974764600342e-18       1.374523884077e-09       1.103404211519e-10       7.941226048898e-14 
    9       1.102929657603e-10       4.861496600971e-16       1.291081392914e-13       3.720412199285e-18       1.158411344300e-09       9.484872805866e-11       1.064349651088e-13 
   10       1.101546166724e-10       4.153012267944e-16       1.135880653450e-13       4.549764387076e-18       9.908258126910e-10       8.257625629081e-11       8.927683587592e-14 
   11       1.104630688012e-10       3.501108559386e-16       1.079366289731e-13       5.463052349606e-18       8.324874851487e-10       7.295882879253e-11       5.202985433704e-14 
   12       1.110666248265e-10       3.062218520328e-16       1.090961699331e-13       6.460513360079e-18       7.275626601257e-10       6.450946535636e-11       1.227545341639e-14 
   13       1.119149685040e-10       2.946323975913e-16       1.143824125478e-13       7.542387334662e-18       6.414113932332e-10       5.764872253299e-11      -1.798979151957e-14 
   14       1.129607737116e-10       3.073750712296e-16       1.217750776854e-13       8.708913609780e-18       5.697211232125e-10       5.167476829252e-11      -3.451191555899e-14 
   15       1.141906753043e-10       3.327069456264e-16       1.299846933448e-13       9.960328020610e-18       5.093655800933e-10       4.665013899299e-11      -3.750025490046e-14 
   16       1.155293829038e-10       3.681046449693e-16       1.383481760197e-13       1.129686034737e-17       4.580406033222e-10       4.231888326755e-11      -3.091239171770e-14 
   17       1.170045123626e-10       4.190971789963e-16       1.466477508687e-13       1.271873218091e-17       4.140052882648e-10       3.853867637796e-11      -1.994035417923e-14 
   18       1.185528650266e-10       4.911143353976e-16       1.551403462621e-13       1.422615506011e-17       3.757781193284e-10       3.524204930376e-11      -9.473486470856e-15 
   19       1.201856902782e-10       5.844840878773e-16       1.640479098239e-13       1.581933017650e-17       3.427576088780e-10       3.238161914591e-11      -2.117225332284e-15 
   20       1.218957456015e-10       6.972063778673e-16       1.735111916721e-13       1.749844561189e-17       3.136699632648e-10       2.984164630045e-11       4.175941935830e-16 
