# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.444899509938e-10       4.328285242661e-15       3.673351823352e-13       0.000000000000e+00       8.629126629089e-09       4.724444810210e-10      -1.919678740836e-12 
    3       1.367206662904e-10       5.547703106582e-15       4.124607662879e-13       0.000000000000e+00       5.301548184751e-09       3.352825288273e-10      -1.453957125759e-12 
    4       1.293567404400e-10       4.800330060381e-15       3.855986773824e-13       0.000000000000e+00       3.688625063440e-09       2.539691127758e-10      -9.519331779714e-13 
    5       1.238369340006e-10       3.203841376627e-15       3.283748866329e-13       0.000000000000e+00       2.755445633549e-09       2.005511566059e-10      -5.292699552518e-13 
    6       1.200387507963e-10       1.792335762229e-15       2.645383580416e-13       0.000000000000e+00       2.153860307480e-09       1.631416329848e-10      -2.178270650330e-13 
    7       1.176246686853e-10       9.689156020472e-16       2.078229796873e-13       0.000000000000e+00       1.738793548329e-09       1.357790149906e-10      -1.909338692442e-14 
    8       1.161808911588e-10       6.253211261947e-16       1.642303642710e-13       0.000000000000e+00       1.437839649351e-09       1.150378586018e-10       8.241760140542e-14 
    9       1.154935223959e-10       5.020396831660e-16       1.350486476006e-13       0.000000000000e+00       1.211165228129e-09       9.885139884121e-11       1.109361557942e-13 
   10       1.153697816744e-10       4.277829500326e-16       1.188589262853e-13       0.000000000000e+00       1.035399844294e-09       8.598238957064e-11       9.333640483246e-14 
   11       1.156569036754e-10       3.591261045878e-16       1.129498207710e-13       0.000000000000e+00       8.705317599375e-10       7.589753805568e-11       5.461487501116e-14 
   12       1.163244229950e-10       3.123055008027e-16       1.141886559810e-13       0.000000000000e+00       7.607322308913e-10       6.727200543550e-11       1.331139883792e-14 
   13       1.172239886444e-10       2.990412308516e-16       1.197092027309e-13       0.000000000000e+00       6.705926936190e-10       6.005856015443e-11      -1.846273090505e-14 
   14       1.182858700418e-10       3.112320495964e-16       1.274383718998e-13       0.000000000000e+00       5.955837257316e-10       5.381584372421e-11      -3.582058197381e-14 
   15       1.195414927228e-10       3.366099336044e-16       1.360389345811e-13       0.000000000000e+00       5.324432050540e-10       4.855633050822e-11      -3.907122867426e-14 
   16       1.209814986267e-10       3.725123863952e-16       1.447719629757e-13       0.000000000000e+00       4.787560817550e-10       4.409409894027e-11      -3.229911035850e-14 
   17       1.224873166021e-10       4.244949656173e-16       1.535425934799e-13       0.000000000000e+00       4.326980297725e-10       4.021902152149e-11      -2.093971543341e-14 
   18       1.241036364708e-10       4.981438957877e-16       1.624815600588e-13       0.000000000000e+00       3.927171737133e-10       3.675166388842e-11      -1.011390444759e-14 
   19       1.258445906277e-10       5.939302893802e-16       1.717938632379e-13       0.000000000000e+00       3.581831934475e-10       3.368235787968e-11      -2.491675518073e-15 
   20       1.276392652849e-10       7.099399589337e-16       1.816719098486e-13       0.000000000000e+00       3.277649565598e-10       3.098342817738e-11       2.018579992639e-16 
   21       1.295007901283e-10       8.454248925290e-16       1.920864718765e-13       0.000000000000e+00       3.009855116884e-10       2.863054069355e-11      -1.462142843222e-15 
   22       1.314349869131e-10       9.997337727112e-16       2.028558558890e-13       0.000000000000e+00       2.772052958272e-10       2.655642504647e-11      -5.713005861417e-15 
   23       1.334322761497e-10       1.173174958469e-15       2.136491396081e-13       0.000000000000e+00       2.560976666453e-10       2.470803351007e-11      -1.076072308651e-14 
   24       1.354587436546e-10       1.366153270356e-15       2.240348923504e-13       0.000000000000e+00       2.371748249940e-10       2.301549805885e-11      -1.469695089170e-14 
   25       1.375253984989e-10       1.578717676976e-15       2.336717672315e-13       0.000000000000e+00       2.202148387064e-10       2.146457723667e-11      -1.670505233796e-14 
   26       1.396412072772e-10       1.811042480192e-15       2.422591454032e-13       0.000000000000e+00       2.049115656252e-10       2.004665358868e-11      -1.647007120785e-14 
   27       1.418077442584e-10       2.065168451788e-15       2.497204866267e-13       0.000000000000e+00       1.910817892597e-10       1.876503638372e-11      -1.453378109298e-14 
   28       1.440140184322e-10       2.343710792939e-15       2.560737791726e-13       0.000000000000e+00       1.784872928898e-10       1.761561283093e-11      -1.181571813865e-14 
   29       1.462642479523e-10       2.648221669768e-15       2.613746713476e-13       0.000000000000e+00       1.670638103465e-10       1.658481868069e-11      -9.032013536424e-15 
   30       1.485539053765e-10       2.979923896966e-15       2.657233620248e-13       0.000000000000e+00       1.566886583901e-10       1.564242923917e-11      -6.974243282396e-15 
   31       1.508675457105e-10       3.339972077969e-15       2.692234306254e-13       0.000000000000e+00       1.471502242368e-10       1.475117459794e-11      -6.375899569833e-15 
   32       1.532088794996e-10       3.729304589102e-15       2.718228052203e-13       0.000000000000e+00       1.383994344436e-10       1.391336509154e-11      -7.019065411120e-15 
   33       1.555792270153e-10       4.148721526987e-15       2.734124392141e-13       0.000000000000e+00       1.303746792545e-10       1.314038241735e-11      -8.278084890818e-15 
