# dimensionless DLM: total delensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.444898168466e-10       4.328352405160e-15       3.673347986781e-13       6.950312341755e-20       8.629126629089e-09       4.724444810210e-10       0.000000000000e+00 
    3       1.367203988130e-10       5.547829749612e-15       4.124596955463e-13       1.385283557633e-19       5.301548184751e-09       3.352825288273e-10       0.000000000000e+00 
    4       1.293563073951e-10       4.800539957540e-15       3.855968899048e-13       2.303281396930e-19       3.688625063440e-09       2.539691127758e-10       0.000000000000e+00 
    5       1.238362908694e-10       3.204164541174e-15       3.283725465960e-13       3.450056766796e-19       2.755445633549e-09       2.005511566059e-10       0.000000000000e+00 
    6       1.200378422945e-10       1.792801068556e-15       2.645357055116e-13       4.826357355839e-19       2.153860307480e-09       1.631416329848e-10       1.785180858269e+02 
    7       1.176234274523e-10       9.695466032726e-16       2.078202129124e-13       6.432329699917e-19       1.738793548329e-09       1.357790149906e-10       2.870290608230e+02 
    8       1.161793019037e-10       6.261381011406e-16       1.642276278675e-13       8.267875643698e-19       1.437839649351e-09       1.150378586018e-10       0.000000000000e+00 
    9       1.154942113609e-10       5.030726973030e-16       1.350485247193e-13       1.033313202135e-18       1.211165228129e-09       9.885139884121e-11       0.000000000000e+00 
   10       1.153706256522e-10       4.290448784500e-16       1.188587157931e-13       1.262755713294e-18       1.035399844294e-09       8.598238957064e-11       0.000000000000e+00 
   11       1.156578511681e-10       3.606396282456e-16       1.129493304178e-13       1.515124496805e-18       8.705317599375e-10       7.589753805568e-11       0.000000000000e+00 
   12       1.163254845472e-10       3.140935907702e-16       1.141877623183e-13       1.790411416960e-18       7.607322308913e-10       6.727200543550e-11       0.000000000000e+00 
   13       1.172251729198e-10       3.011267600446e-16       1.197078621645e-13       2.088616457873e-18       6.705926936190e-10       6.005856015443e-11       0.000000000000e+00 
   14       1.182871853787e-10       3.136378023603e-16       1.274365920264e-13       2.409745064781e-18       5.955837257316e-10       5.381584372421e-11       3.667696894246e-04 
   15       1.195429468040e-10       3.393586982813e-16       1.360367156457e-13       2.753805399424e-18       5.324432050540e-10       4.855633050822e-11       0.000000000000e+00 
   16       1.209830989159e-10       3.756269534819e-16       1.447693216324e-13       3.120801939030e-18       4.787560817550e-10       4.409409894027e-11       0.000000000000e+00 
   17       1.224890703852e-10       4.279980976106e-16       1.535396034736e-13       3.510740448250e-18       4.326980297725e-10       4.021902152149e-11       0.000000000000e+00 
   18       1.241055508259e-10       5.020583531180e-16       1.624783375690e-13       3.923624080773e-18       3.927171737133e-10       3.675166388842e-11      -3.682153048586e+01 
   19       1.258466727605e-10       5.982788789016e-16       1.717905066405e-13       4.359457604691e-18       3.581831934475e-10       3.368235787968e-11       0.000000000000e+00 
   20       1.276415229135e-10       7.147455542335e-16       1.816684728268e-13       4.818246517792e-18       3.277649565598e-10       3.098342817738e-11       1.841396404874e+02 
   21       1.295032304844e-10       8.507103962533e-16       1.920829818057e-13       5.299996028008e-18       3.009855116884e-10       2.863054069355e-11       0.000000000000e+00 
   22       1.314376163487e-10       1.005522099904e-15       2.028523184356e-13       5.804711084387e-18       2.772052958272e-10       2.655642504647e-11      -8.328990573910e+02 
   23       1.334351009580e-10       1.179489020337e-15       2.136455546617e-13       6.332396820385e-18       2.560976666453e-10       2.470803351007e-11       0.000000000000e+00 
   24       1.354617702598e-10       1.373015963003e-15       2.240312591458e-13       6.883058201890e-18       2.371748249940e-10       2.301549805885e-11       4.990709399356e+03 
   25       1.375286331433e-10       1.586151876033e-15       2.336680828739e-13       7.456700021105e-18       2.202148387064e-10       2.146457723667e-11       1.129489110104e+04 
   26       1.396446558831e-10       1.819071032833e-15       2.422554048364e-13       8.053326719619e-18       2.049115656252e-10       2.004665358868e-11       1.447124016790e+04 
   27       1.418114125646e-10       2.073814171021e-15       2.497166839790e-13       8.672942467977e-18       1.910817892597e-10       1.876503638372e-11       1.379839396451e+04 
   28       1.440179120131e-10       2.352996450080e-15       2.560699078603e-13       9.315551054494e-18       1.784872928898e-10       1.761561283093e-11       1.000994193238e+04 
   29       1.462683722626e-10       2.658169991109e-15       2.613707208178e-13       9.981156186827e-18       1.670638103465e-10       1.658481868069e-11       4.665631326784e+03 
   30       1.485582657368e-10       2.990557556069e-15       2.657193164100e-13       1.066976114124e-17       1.566886583901e-10       1.564242923917e-11       0.000000000000e+00 
   31       1.508721472797e-10       3.351313688317e-15       2.692192692587e-13       1.138136871862e-17       1.471502242368e-10       1.475117459794e-11      -1.842447451051e+03 
   32       1.532137272975e-10       3.741376705123e-15       2.718185069113e-13       1.211598168844e-17       1.383994344436e-10       1.391336509154e-11      -1.331163958564e+03 
   33       1.555843259062e-10       4.161546639073e-15       2.734079843239e-13       1.287360240164e-17       1.303746792545e-10       1.314038241735e-11       0.000000000000e+00 
   34       1.579784892686e-10       4.612567205838e-15       2.738669440887e-13       1.365423271742e-17       1.229639501461e-10       1.243835455950e-11       6.064985376559e+02 
   35       1.604006394209e-10       5.095311248886e-15       2.730828857082e-13       1.445787436155e-17       1.161294104254e-10       1.180188516495e-11       4.479140114725e+02 
   36       1.628525001879e-10       5.610650734525e-15       2.709366870709e-13       1.528452860359e-17       1.098162668307e-10       1.121711490856e-11       0.000000000000e+00 
   37       1.653310698477e-10       6.159423418673e-15       2.673156422602e-13       1.613419625293e-17       1.039424021217e-10       1.066771760062e-11      -2.603064617905e+02 
