# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.444904514207e-10       4.328555913221e-15       3.673347999703e-13       2.730107893115e-19       8.629126629089e-09       4.724444810210e-10      -1.919678740836e-12 
    3       1.367216695168e-10       5.548236846606e-15       4.124597013750e-13       5.456214950052e-19       5.301548184751e-09       3.352825288273e-10      -1.453957125759e-12 
    4       1.293584286625e-10       4.801218635577e-15       3.855969067269e-13       9.089874749971e-19       3.688625063440e-09       2.539691127758e-10      -9.519331779714e-13 
    5       1.238394793408e-10       3.205182909201e-15       3.283725849400e-13       1.363308668025e-18       2.755445633549e-09       2.005511566059e-10      -5.292699552518e-13 
    6       1.200423175681e-10       1.794227388514e-15       2.645357811966e-13       1.908775262709e-18       2.153860307480e-09       1.631416329848e-10      -2.178270650330e-13 
    7       1.176294134483e-10       9.714493320572e-16       2.078203479544e-13       2.545533673948e-18       1.738793548329e-09       1.357790149906e-10      -1.909338692442e-14 
    8       1.161869649590e-10       6.285857164750e-16       1.642277910075e-13       3.273724896931e-18       1.437839649351e-09       1.150378586018e-10       8.241760140542e-14 
    9       1.155010702135e-10       5.061245075353e-16       1.350461107069e-13       4.093516333471e-18       1.211165228129e-09       9.885139884121e-11       1.109361557942e-13 
   10       1.153789437763e-10       4.327796492630e-16       1.188562761735e-13       5.005101990350e-18       1.035399844294e-09       8.598238957064e-11       9.333640483246e-14 
   11       1.156678160618e-10       3.651275548919e-16       1.129468123877e-13       6.008688707442e-18       8.705317599375e-10       7.589753805568e-11       5.461487501116e-14 
   12       1.163372152306e-10       3.194043206871e-16       1.141849943334e-13       7.104493014678e-18       7.607322308913e-10       6.727200543550e-11       1.331139883792e-14 
   13       1.172387886102e-10       3.073295515791e-16       1.197045837490e-13       8.292737146053e-18       6.705926936190e-10       6.005856015443e-11      -1.846273090505e-14 
   14       1.183028039005e-10       3.208022610796e-16       1.274324999944e-13       9.573656120819e-18       5.955837257316e-10       5.381584372421e-11      -3.582058197381e-14 
   15       1.195606797155e-10       3.475551846515e-16       1.360315267616e-13       1.094749109374e-17       5.324432050540e-10       4.855633050822e-11      -3.907122867426e-14 
   16       1.210030527355e-10       3.849262905880e-16       1.447627414951e-13       1.241448356876e-17       4.787560817550e-10       4.409409894027e-11      -3.229911035850e-14 
   17       1.225113554093e-10       4.384710283498e-16       1.535312540877e-13       1.397487354947e-17       4.326980297725e-10       4.021902152149e-11      -2.093971543341e-14 
   18       1.241302693482e-10       5.137752958223e-16       1.624677513417e-13       1.562889963506e-17       3.927171737133e-10       3.675166388842e-11      -1.011390444759e-14 
   19       1.258739238525e-10       6.113102532232e-16       1.717771682158e-13       1.737680017610e-17       3.581831934475e-10       3.368235787968e-11      -2.491675518073e-15 
   20       1.276714050577e-10       7.291619130268e-16       1.816518368217e-13       1.921881010668e-17       3.277649565598e-10       3.098342817738e-11       2.018579992639e-16 
   21       1.295358387174e-10       8.665824790616e-16       1.920624706538e-13       2.115516160560e-17       3.009855116884e-10       2.863054069355e-11      -1.462142843222e-15 
   22       1.314730418537e-10       1.022920856113e-15       2.028273301259e-13       2.318608120260e-17       2.772052958272e-10       2.655642504647e-11      -5.713005861417e-15 
   23       1.334734341635e-10       1.198485524136e-15       2.136154822221e-13       2.531178948111e-17       2.560976666453e-10       2.470803351007e-11      -1.076072308651e-14 
   24       1.355031016665e-10       1.393681405247e-15       2.239955073420e-13       2.753249893169e-17       2.371748249940e-10       2.301549805885e-11      -1.469695089170e-14 
   25       1.375730498329e-10       1.608557656727e-15       2.336260811901e-13       2.984841432304e-17       2.202148387064e-10       2.146457723667e-11      -1.670505233796e-14 
   26       1.396922404894e-10       1.843288722961e-15       2.422066137137e-13       3.225973031886e-17       2.049115656252e-10       2.004665358868e-11      -1.647007120785e-14 
   27       1.418622448477e-10       2.099915116738e-15       2.496605653641e-13       3.476663127823e-17       1.910817892597e-10       1.876503638372e-11      -1.453378109298e-14 
   28       1.440720695149e-10       2.381051606682e-15       2.560059131010e-13       3.736928989394e-17       1.784872928898e-10       1.761561283093e-11      -1.181571813865e-14 
   29       1.463259307989e-10       2.688250001976e-15       2.612982734152e-13       4.006786950703e-17       1.670638103465e-10       1.658481868069e-11      -9.032013536424e-15 
   30       1.486192997665e-10       3.022732725068e-15       2.656378023206e-13       4.286252035215e-17       1.566886583901e-10       1.564242923917e-11      -6.974243282396e-15 
   31       1.509367300504e-10       3.385653923440e-15       2.691280385787e-13       4.575337903470e-17       1.471502242368e-10       1.475117459794e-11      -6.375899569833e-15 
   32       1.532819303621e-10       3.777951521282e-15       2.717169052700e-13       4.874057353303e-17       1.383994344436e-10       1.391336509154e-11      -7.019065411120e-15 
   33       1.556562190392e-10       4.200425119470e-15       2.732953659515e-13       5.182421826001e-17       1.303746792545e-10       1.314038241735e-11      -8.278084890818e-15 
   34       1.580541403756e-10       4.653817936510e-15       2.737426798267e-13       5.500441320817e-17       1.229639501461e-10       1.243835455950e-11      -9.469800922619e-15 
   35       1.604801138581e-10       5.139002220911e-15       2.729463788549e-13       5.828124906845e-17       1.161294104254e-10       1.180188516495e-11      -1.032073234330e-14 
   36       1.629358604438e-10       5.656849262405e-15       2.707873850112e-13       6.165480236071e-17       1.098162668307e-10       1.121711490856e-11      -1.065503462970e-14 
   37       1.654183756489e-10       6.208196058581e-15       2.671530399296e-13       6.512513552428e-17       1.039424021217e-10       1.066771760062e-11      -1.033852119826e-14 
   38       1.679311248310e-10       6.793912909336e-15       2.620031992326e-13       6.869230482455e-17       9.849268928455e-11       1.015200493062e-11      -9.514035609618e-15 
   39       1.704753242504e-10       7.414852901701e-15       2.553261454152e-13       7.235635381279e-17       9.344989229489e-11       9.670860353215e-12      -8.447683391822e-15 
   40       1.730461466686e-10       8.071830601686e-15       2.471217472131e-13       7.611731035852e-17       8.876597696807e-11       9.222886559934e-12      -7.471293380023e-15 
   41       1.756361490784e-10       8.765608457132e-15       2.373974947397e-13       7.997518919116e-17       8.437885862308e-11       8.805113598105e-12      -6.899269315970e-15 
   42       1.782483961252e-10       9.496856752652e-15       2.261534443034e-13       8.393000212073e-17       8.027566126713e-11       8.415914002212e-12      -6.736363055453e-15 
   43       1.808865597974e-10       1.026617636871e-14       2.133934986931e-13       8.798175002357e-17       7.644552886939e-11       8.052677074981e-12      -6.881932762138e-15 
   44       1.835508987189e-10       1.107410550234e-14       1.991299621394e-13       9.213041948463e-17       7.286064187159e-11       7.710821531691e-12      -7.207413038590e-15 
   45       1.862397951670e-10       1.192113201147e-14       1.833682801858e-13       9.637598635717e-17       6.948616330267e-11       7.385271385119e-12      -7.582076577813e-15 
   46       1.889557275399e-10       1.280774261809e-14       1.660550051913e-13       1.007184287607e-16       6.631680580632e-11       7.075763762496e-12      -7.963653822323e-15 
   47       1.917004962280e-10       1.373438280663e-14       1.471148619963e-13       1.051577172111e-16       6.334889918842e-11       6.782872381842e-12      -8.331808960202e-15 
   48       1.944732657596e-10       1.470144012567e-14       1.264644638256e-13       1.096938107431e-16       6.056936082463e-11       6.506464100803e-12      -8.662797297536e-15 
   49       1.972703280026e-10       1.570924179180e-14       1.040117588908e-13       1.143266566958e-16       5.795499559366e-11       6.245642343132e-12      -8.929289027544e-15 
   50       2.000872096993e-10       1.675803721354e-14       7.967346585189e-14       1.190561952532e-16       5.547948588440e-11       5.999120120215e-12      -9.110052606227e-15 
   51       2.029262188546e-10       1.784794552997e-14       5.343424343263e-14       1.238823750183e-16       5.313822257411e-11       5.766589713100e-12      -9.222512415121e-15 
   52       2.057905374090e-10       1.897898969010e-14       2.530262514698e-14       1.288051412950e-16       5.092900403037e-11       5.547626984380e-12      -9.298723882200e-15 
   53       2.086819324604e-10       2.015110725608e-14      -4.705279640649e-15       1.338244317103e-16       4.884460496800e-11       5.341258782648e-12      -9.376567195417e-15 
   54       2.116006297865e-10       2.136414729732e-14      -3.656549257829e-14       1.389401762239e-16       4.687243826820e-11       5.145926585226e-12      -9.500035053315e-15 
   55       2.145461651293e-10       2.261794162081e-14      -7.025529215656e-14       1.441523022357e-16       4.499839768767e-11       4.959943002054e-12      -9.707010118769e-15 
   56       2.175204754386e-10       2.391254629874e-14      -1.057839175366e-13       1.494607513766e-16       4.322027860646e-11       4.783077379748e-12      -9.988382519898e-15 
   57       2.205253540261e-10       2.524805470138e-14      -1.431689787593e-13       1.548654669048e-16       4.153709893165e-11       4.615300412995e-12      -1.031928027650e-14 
   58       2.235614536278e-10       2.662452821292e-14      -1.824277782809e-13       1.603663891746e-16       3.994503883841e-11       4.456309012812e-12      -1.067049446433e-14 
   59       2.266281980218e-10       2.804199602178e-14      -2.235773848087e-13       1.659634558444e-16       3.843726548101e-11       4.305509151639e-12      -1.100827955150e-14 
   60       2.297236936466e-10       2.950045491105e-14      -2.666347071363e-13       1.716566020842e-16       3.700375770372e-11       4.161998708451e-12      -1.129415373497e-14 
   61       2.328458130169e-10       3.099976258598e-14      -3.116117729449e-13       1.774457669029e-16       3.563409018077e-11       4.024828888004e-12      -1.149344164227e-14 
   62       2.359959290934e-10       3.253929015106e-14      -3.585001598219e-13       1.833309133215e-16       3.432691265802e-11       3.893895857032e-12      -1.160359484313e-14 
   63       2.391758661115e-10       3.411819090073e-14      -4.072831847356e-13       1.893120131171e-16       3.308229705847e-11       3.769219714518e-12      -1.163190280403e-14 
   64       2.423867515618e-10       3.573549638243e-14      -4.579403139416e-13       1.953890414964e-16       3.189888603056e-11       3.650675426800e-12      -1.158738764842e-14 
   65       2.456289649881e-10       3.739011280898e-14      -5.104470846753e-13       2.015619774969e-16       3.077381155956e-11       3.537984511617e-12      -1.148088188178e-14 
   66       2.489020867858e-10       3.908081747100e-14      -5.647750268446e-13       2.078308043895e-16       2.970261357891e-11       3.430706722160e-12      -1.132510611675e-14 
   67       2.522048469999e-10       4.080625514932e-14      -6.208915847231e-13       2.141955100794e-16       2.867915858166e-11       3.328231731122e-12      -1.113474679818e-14 
   68       2.555359242353e-10       4.256508012648e-14      -6.787637517215e-13       2.206560928995e-16       2.769727836546e-11       3.229938581316e-12      -1.092409430916e-14 
   69       2.588966448164e-10       4.435642365507e-14      -7.383700049844e-13       2.272125794542e-16       2.675625378212e-11       3.135730143920e-12      -1.069922781074e-14 
   70       2.622887410802e-10       4.617951520107e-14      -7.996906594939e-13       2.338650111293e-16       2.585630103544e-11       3.045592513989e-12      -1.046437919786e-14 
   71       2.657135207241e-10       4.803354535943e-14      -8.627043853144e-13       2.406134395508e-16       2.499691313676e-11       2.959432872723e-12      -1.022424766189e-14 
   72       2.691718373455e-10       4.991766599019e-14      -9.273882242501e-13       2.474579271248e-16       2.417682250957e-11       2.877075462218e-12      -9.984015021311e-15 
   73       2.726640609831e-10       5.183099035468e-14      -9.937176065006e-13       2.543985475768e-16       2.339396359408e-11       2.798257560228e-12      -9.749361052525e-15 
   74       2.761900486560e-10       5.377259325169e-14      -1.061666367317e-12       2.614353864917e-16       2.264543545179e-11       2.722625454912e-12      -9.526478820542e-15 
   75       2.797491149046e-10       5.574151115360e-14      -1.131206763661e-12       2.685685418530e-16       2.192746437007e-11       2.649730419590e-12      -9.322090009737e-15 
   76       2.833404970400e-10       5.773667808831e-14      -1.202307970992e-12       2.757981282969e-16       2.123634099208e-11       2.579143509832e-12      -9.142004302785e-15 
   77       2.869649139618e-10       5.975671948522e-14      -1.274931220366e-12       2.831242895753e-16       2.057151166074e-11       2.510833020433e-12      -8.986460339855e-15 
   78       2.906232393964e-10       6.180012080879e-14      -1.349033800706e-12       2.905471893564e-16       1.993298547536e-11       2.444848866266e-12      -8.853959066470e-15 
   79       2.943160134021e-10       6.386528731549e-14      -1.424570485721e-12       2.980670083183e-16       1.932039264592e-11       2.381208303236e-12      -8.742630024299e-15 
   80       2.980434230544e-10       6.595054287240e-14      -1.501493519401e-12       3.056839447643e-16       1.873296708108e-11       2.319894339577e-12      -8.650216826419e-15 
