# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
    2       6.430933474448e-10       5.349121027472e-09       3.042873669393e-09       2.134374012178e-09                     -nan       1.930055333176e-09       1.895390131867e-08 
    3       2.829095783375e-10       2.466042872337e-09       1.427551926729e-09       9.984257808788e-10                     -nan       7.720680560691e-10       7.582012411028e-09 
    4       1.619732248895e-10       1.434953245420e-09       8.360359781279e-10       5.840771424507e-10                     -nan       4.289358033445e-10       4.212326313753e-09 
    5       1.055734418621e-10       9.424593875260e-10       5.508637884133e-10       3.846278765899e-10                     -nan       2.757480853419e-10       2.707967089627e-09 
    6       7.446643157676e-11       6.675690707181e-10       3.909427141382e-10       2.728672156268e-10                     -nan       1.930257751957e-10       1.895604134468e-09 
    7       5.542116489313e-11       4.981072779392e-10       2.920872472354e-10       2.038137872315e-10                     -nan       1.429835637285e-10       1.404171638814e-09 
    8       4.288948967690e-11       3.861174056760e-10       2.266452377169e-10       1.581138995616e-10                     -nan       1.103028066211e-10       1.083234911673e-09 
    9       3.419463180685e-11       3.081878584137e-10       1.810536264752e-10       1.262823053855e-10                     -nan       8.774188417712e-11       8.616786037754e-10 
   10       2.791063270965e-11       2.517495776703e-10       1.480080744937e-10       1.032134326955e-10                     -nan       7.149427732256e-11       7.021213257657e-10 
   11       2.321930115321e-11       2.095514810429e-10       1.232855422829e-10       8.595654964085e-11                     -nan       5.939604419292e-11       5.833123853096e-10 
   12       1.962314500442e-11       1.771672337342e-10       1.043040583146e-10       7.270805490426e-11                     -nan       5.014024502725e-11       4.924171650061e-10 
   13       1.680521998501e-11       1.517685528643e-10       8.941186720627e-11       6.231436780129e-11                     -nan       4.289843490009e-11       4.213000378238e-10 
   14       1.455569413948e-11       1.314787119610e-10       7.751193751297e-11       5.400944288857e-11                     -nan       3.712426755226e-11       3.645956876608e-10 
   15       1.273109609213e-11       1.150122126384e-10       6.785229478362e-11       4.726824820608e-11                     -nan       3.244531948276e-11       3.186467818384e-10 
   16       1.123059583596e-11       1.014643191483e-10       5.990339571148e-11       4.172109009305e-11                     -nan       2.860049483633e-11       2.808892666987e-10 
   17       9.981631869018e-12       9.018318621066e-11       5.328353353736e-11       3.710150616324e-11                     -nan       2.540227131372e-11       2.494816044869e-10 
   18       8.926508847944e-12       8.064993529638e-11       4.768870594174e-11       3.319729957353e-11                     -nan       2.270183237211e-11       2.229623645564e-10 
   19       8.038503898060e-12       7.262421500028e-11       4.297817336420e-11       2.991021420831e-11                     -nan       2.043024511376e-11       2.006546060893e-10 
   20       7.273635889992e-12       6.570986977247e-11       3.891962984003e-11       2.707812858264e-11                     -nan       1.847438046330e-11       1.814473557136e-10 
   21       6.614392996980e-12       5.974918646257e-11       3.542066944770e-11       2.463653764509e-11                     -nan       1.678915953978e-11       1.648979253916e-10 
   22       6.040062311916e-12       5.455534842604e-11       3.237169927682e-11       2.250896269673e-11                     -nan       1.532142891556e-11       1.504843284144e-10 
   23       5.539520083747e-12       5.002806402226e-11       2.971393342593e-11       2.065437019777e-11                     -nan       1.404260617209e-11       1.379258771691e-10 
   24       5.097983893380e-12       4.603395101545e-11       2.736910250174e-11       1.901814408225e-11                     -nan       1.291478244506e-11       1.268502915966e-10 
   25       4.708295708453e-12       4.250842109374e-11       2.529934001269e-11       1.757385345952e-11                     -nan       1.191958846545e-11       1.170771805067e-10 
   26       4.361527034852e-12       3.937085136851e-11       2.345732304113e-11       1.628847805808e-11                     -nan       1.103415763893e-11       1.083819850998e-10 
   27       4.052239288800e-12       3.657213199736e-11       2.181424292528e-11       1.514191229378e-11                     -nan       1.024455410522e-11       1.006278509854e-10 
