# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.444899509938e-10       4.328285242661e-15       3.673351823352e-13       0.000000000000e+00       8.640435320204e-09       4.725968645399e-10      -1.919672163383e-12 
    3       1.367206662904e-10       5.547703106582e-15       4.124607662879e-13       0.000000000000e+00       5.306750140959e-09       3.354211921780e-10      -1.453952499908e-12 
    4       1.293567404400e-10       4.800330060381e-15       3.855986773824e-13       0.000000000000e+00       3.691188373299e-09       2.540977175121e-10      -9.519300892156e-13 
    5       1.238369340006e-10       3.203841376627e-15       3.283748866329e-13       0.000000000000e+00       2.756794012009e-09       2.006708252199e-10      -5.292678518594e-13 
    6       1.200387507963e-10       1.792335762229e-15       2.645383580416e-13       0.000000000000e+00       2.154561481285e-09       1.632542056190e-10      -2.178255163675e-13 
    7       1.176246686853e-10       9.689156020472e-16       2.078229796873e-13       0.000000000000e+00       1.739087409335e-09       1.358859896862e-10      -1.909211882417e-14 
    8       1.161808911588e-10       6.253211261947e-16       1.642303642710e-13       0.000000000000e+00       1.437832159831e-09       1.151389016803e-10       8.241872197041e-14 
    9       1.154935223959e-10       5.020396831660e-16       1.350486476006e-13       0.000000000000e+00       1.210908523864e-09       9.894544251999e-11       1.109371727305e-13 
   10       1.153697816744e-10       4.277829500326e-16       1.188589262853e-13       0.000000000000e+00       1.034932495398e-09       8.606894978884e-11       9.333732143056e-14 
   11       1.156569036754e-10       3.591261045878e-16       1.129498207710e-13       0.000000000000e+00       8.723873510011e-10       7.597961754951e-11       5.461570696049e-14 
   12       1.163244229950e-10       3.123055008027e-16       1.141886559810e-13       0.000000000000e+00       7.623841689704e-10       6.734852634897e-11       1.331214131942e-14 
   13       1.172239886444e-10       2.990412308516e-16       1.197092027309e-13       0.000000000000e+00       6.720723052982e-10       6.013008740493e-11      -1.846213107950e-14 
   14       1.182858700418e-10       3.112320495964e-16       1.274383718998e-13       0.000000000000e+00       5.969159446778e-10       5.388286659758e-11      -3.582010419485e-14 
   15       1.195414927228e-10       3.366099336044e-16       1.360389345811e-13       0.000000000000e+00       5.336480990380e-10       4.861918416067e-11      -3.907084905015e-14 
   16       1.209814986267e-10       3.725123863952e-16       1.447719629757e-13       0.000000000000e+00       4.798500267434e-10       4.415309274483e-11      -3.229870982556e-14 
   17       1.224873166021e-10       4.244949656173e-16       1.535425934799e-13       0.000000000000e+00       4.336947401860e-10       4.027435848062e-11      -2.093929515198e-14 
   18       1.241036364708e-10       4.981438957877e-16       1.624815600588e-13       0.000000000000e+00       3.936284801164e-10       3.680363609737e-11      -1.011340556507e-14 
   19       1.258445906277e-10       5.939302893802e-16       1.717938632379e-13       0.000000000000e+00       3.590177290306e-10       3.373128972338e-11      -2.491110515065e-15 
   20       1.276392652849e-10       7.099399589337e-16       1.816719098486e-13       0.000000000000e+00       3.285311106584e-10       3.102956302639e-11       2.023464983402e-16 
   21       1.295007901283e-10       8.454248925290e-16       1.920864718765e-13       0.000000000000e+00       3.016909340385e-10       2.867407890211e-11      -1.461812425839e-15 
   22       1.314349869131e-10       9.997337727112e-16       2.028558558890e-13       0.000000000000e+00       2.778558118342e-10       2.659750032184e-11      -5.712788269210e-15 
   23       1.334322761497e-10       1.173174958469e-15       2.136491396081e-13       0.000000000000e+00       2.566985606079e-10       2.474677355265e-11      -1.076055275741e-14 
   24       1.354587436546e-10       1.366153270356e-15       2.240348923504e-13       0.000000000000e+00       2.377306777034e-10       2.305202642738e-11      -1.469677880934e-14 
   25       1.375253984989e-10       1.578717676976e-15       2.336717672315e-13       0.000000000000e+00       2.207298400045e-10       2.149904465140e-11      -1.670483998198e-14 
   26       1.396412072772e-10       1.811042480192e-15       2.422591454032e-13       0.000000000000e+00       2.053892467263e-10       2.007923193359e-11      -1.646980061623e-14 
   27       1.418077442584e-10       2.065168451788e-15       2.497204866267e-13       0.000000000000e+00       1.915253463019e-10       1.879590470450e-11      -1.453349743084e-14 
   28       1.440140184322e-10       2.343710792939e-15       2.560737791726e-13       0.000000000000e+00       1.788994744168e-10       1.764493977880e-11      -1.181553042570e-14 
   29       1.462642479523e-10       2.648221669768e-15       2.613746713476e-13       0.000000000000e+00       1.674472620972e-10       1.661276316001e-11      -9.031991050215e-15 
   30       1.485539053765e-10       2.979923896966e-15       2.657233620248e-13       0.000000000000e+00       1.570457724119e-10       1.566912385556e-11      -6.974367837282e-15 
   31       1.508675457105e-10       3.339972077969e-15       2.692234306254e-13       0.000000000000e+00       1.474829330660e-10       1.477670931766e-11      -6.376065317811e-15 
   32       1.532088794996e-10       3.729304589102e-15       2.718228052203e-13       0.000000000000e+00       1.387095810912e-10       1.393779964983e-11      -7.019166382196e-15 
   33       1.555792270153e-10       4.148721526987e-15       2.734124392141e-13       0.000000000000e+00       1.306639853488e-10       1.316373770581e-11      -8.278048192113e-15 
   34       1.579731346032e-10       4.598966677481e-15       2.738715726487e-13       0.000000000000e+00       1.232338962917e-10       1.246061182415e-11      -9.469599140102e-15 
   35       1.603950244899e-10       5.080912955640e-15       2.730877022417e-13       0.000000000000e+00       1.163813999986e-10       1.182304364449e-11      -1.032039920625e-14 
   36       1.628466207175e-10       5.595432404331e-15       2.709417021998e-13       0.000000000000e+00       1.100515812717e-10       1.123721092310e-11      -1.065468021364e-14 
   37       1.653249217929e-10       6.143362861648e-15       2.673208623665e-13       0.000000000000e+00       1.041621347950e-10       1.068682082611e-11      -1.033831709924e-14 
   38       1.678333949028e-10       6.725575571599e-15       2.621850076204e-13       0.000000000000e+00       9.869790366643e-11       1.017018887210e-11      -9.514096585390e-15 
   39       1.703732576954e-10       7.342924664097e-15       2.555223935401e-13       0.000000000000e+00       9.364161554233e-11       9.688189547581e-12      -8.448017187016e-15 
   40       1.729396841563e-10       7.996225847188e-15       2.473328590094e-13       0.000000000000e+00       8.894512505101e-11       9.239409991054e-12      -7.471776271792e-15 
   41       1.755252326222e-10       8.686242799490e-15       2.376238631918e-13       0.000000000000e+00       8.454620155550e-11       8.820863174173e-12      -6.899663963036e-15 
   42       1.781329701782e-10       9.413647080923e-15       2.263954366687e-13       0.000000000000e+00       8.043194007402e-11       8.430921507370e-12      -6.736483536374e-15 
   43       1.807665716798e-10       1.017904092785e-14       2.136514573968e-13       0.000000000000e+00       7.659145919246e-11       8.066977746578e-12      -6.881707737133e-15 
   44       1.834262987978e-10       1.098296398931e-14       1.994042040608e-13       0.000000000000e+00       7.299687191205e-11       7.724452396425e-12      -7.206910639154e-15 
   45       1.861105367705e-10       1.182590566906e-14       1.836590858370e-13       0.000000000000e+00       6.961325622447e-11       7.398269519923e-12      -7.581492647367e-15 
   46       1.888217659479e-10       1.270835431444e-14       1.663625737638e-13       0.000000000000e+00       6.643531211308e-11       7.088164674776e-12      -7.963173691898e-15 
   47       1.915617883346e-10       1.363075712939e-14       1.474392904839e-13       0.000000000000e+00       6.345936034304e-11       6.794708037570e-12      -8.331560373204e-15 
   48       1.943297699881e-10       1.459350348332e-14       1.268057349688e-13       0.000000000000e+00       6.067228570907e-11       6.517760724033e-12      -8.662837455241e-15 
   49       1.971220042194e-10       1.559692251735e-14       1.043697286207e-13       0.000000000000e+00       5.805083522941e-11       6.256418062439e-12      -8.929590904647e-15 
   50       1.999340193992e-10       1.664126562611e-14       8.004786157926e-14       0.000000000000e+00       5.556862549071e-11       6.009385510523e-12      -9.110510900477e-15 
   51       2.027681262538e-10       1.772665385072e-14       5.382469949983e-14       0.000000000000e+00       5.322103522320e-11       5.776358305303e-12      -9.223016375626e-15 
   52       2.056275098736e-10       1.885311206853e-14       2.570869034016e-14       0.000000000000e+00       5.100585641891e-11       5.556918248217e-12      -9.299180150766e-15 
   53       2.085139406926e-10       2.002057983778e-14      -4.284145009640e-15       0.000000000000e+00       4.891584475121e-11       5.350098288212e-12      -9.376904093426e-15 
   54       2.114276480222e-10       2.122890829207e-14      -3.612991955617e-14       0.000000000000e+00       4.693838055236e-11       5.154346154851e-12      -9.500207096955e-15 
   55       2.143681711421e-10       2.247793141792e-14      -6.980601116133e-14       0.000000000000e+00       4.505932115753e-11       4.967979401997e-12      -9.706998259010e-15 
   56       2.173374498832e-10       2.376770773678e-14      -1.053217833250e-13       0.000000000000e+00       4.327645528863e-11       4.790766228476e-12      -9.988179789780e-15 
   57       2.203372802973e-10       2.509833322251e-14      -1.426949825922e-13       0.000000000000e+00       4.158879720382e-11       4.622673667729e-12      -1.031888880597e-14 
   58       2.233683179120e-10       2.646987197580e-14      -1.819430554596e-13       0.000000000000e+00       3.999251627023e-11       4.463393737849e-12      -1.066992673283e-14 
   59       2.264299893519e-10       2.788235601671e-14      -2.230832223778e-13       0.000000000000e+00       3.848076124142e-11       4.312326220555e-12      -1.100755969347e-14 
   60       2.295204039587e-10       2.933578507725e-14      -2.661325517549e-13       0.000000000000e+00       3.704348453503e-11       4.168561440157e-12      -1.129331889822e-14 
   61       2.326374372218e-10       3.083001974863e-14      -3.111032327673e-13       0.000000000000e+00       3.567023342926e-11       4.031143310911e-12      -1.149253989435e-14 
   62       2.357824651841e-10       3.236443336548e-14      -3.579869864593e-13       0.000000000000e+00       3.435965330570e-11       3.899966434141e-12      -1.160267169663e-14 
   63       2.389573152480e-10       3.393818125962e-14      -4.067672709429e-13       0.000000000000e+00       3.311181539650e-11       3.775050721572e-12      -1.163099665056e-14 
   64       2.421631181486e-10       3.555029699019e-14      -4.574236970388e-13       0.000000000000e+00       3.192535812614e-11       3.656270732233e-12      -1.158652841494e-14 
   65       2.454002567554e-10       3.719968875245e-14      -5.099319499412e-13       0.000000000000e+00       3.079740552704e-11       3.543347344135e-12      -1.148008962862e-14 
   66       2.486683148737e-10       3.888513578660e-14      -5.642637108828e-13       0.000000000000e+00       2.972348565527e-11       3.435839425942e-12      -1.132438957731e-14 
   67       2.519660260462e-10       4.060528478655e-14      -6.203865787990e-13       0.000000000000e+00       2.869744900612e-11       3.333135508643e-12      -1.113410186035e-14 
   68       2.552920725242e-10       4.235879198623e-14      -6.782677061680e-13       0.000000000000e+00       2.771311125716e-11       3.234613829761e-12      -1.092350536872e-14 
   69       2.586477846202e-10       4.414479087807e-14      -7.378857371219e-13       0.000000000000e+00       2.676975039017e-11       3.140178739697e-12      -1.069867854724e-14 
   70       2.620348988533e-10       4.596251325066e-14      -7.992211587000e-13       0.000000000000e+00       2.586758198691e-11       3.049818523461e-12      -1.046385574129e-14 
   71       2.654547272467e-10       4.781115202873e-14      -8.622528170629e-13       0.000000000000e+00       2.500609664386e-11       2.963442694962e-12      -1.022373901423e-14 
   72       2.689081278725e-10       4.968986140775e-14      -9.269579341480e-13       0.000000000000e+00       2.418402248832e-11       2.880877974886e-12      -9.983513494790e-15 
   73       2.723954753970e-10       5.159775698848e-14      -9.933121243266e-13       0.000000000000e+00       2.339928769442e-11       2.801864268575e-12      -9.748862724440e-15 
   74       2.759166316254e-10       5.353391591154e-14      -1.061289411060e-12       0.000000000000e+00       2.264898299928e-11       2.726050643897e-12      -9.525984004748e-15 
   75       2.794709160467e-10       5.549737699193e-14      -1.130862243557e-12       0.000000000000e+00       2.192932421906e-11       2.652991309125e-12      -9.321603744758e-15 
