# dimensionless DLM: total delensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.444898183460e-10       4.328348379381e-15       3.673348004124e-13       6.546737791278e-20       8.640435320204e-09       4.725968645399e-10       9.549296585514e-01 
    3       1.367204017550e-10       5.547821729144e-15       4.124597004739e-13       1.304565950740e-19       5.306750140959e-09       3.354211921780e-10       1.909859317103e+00 
    4       1.293563122863e-10       4.800526593756e-15       3.855968983867e-13       2.168752297300e-19       3.691188373299e-09       2.540977175121e-10       3.183098861838e+00 
    5       1.238362983757e-10       3.204144460264e-15       3.283725583055e-13       3.248268933730e-19       2.756794012009e-09       2.006708252199e-10       4.774648292757e+00 
    6       1.200378534329e-10       1.792772902893e-15       2.645357200942e-13       4.543867684861e-19       2.154561481285e-09       1.632542056190e-10       6.684507609860e+00 
    7       1.176234442215e-10       9.695090106636e-16       2.078202310288e-13       6.055698129098e-19       1.739087409335e-09       1.358859896862e-10       8.912676813146e+00 
    8       1.161793233660e-10       6.260897436410e-16       1.642276477216e-13       7.783666184958e-19       1.437832159831e-09       1.151389016803e-10       1.145915590262e+01 
    9       1.154942097068e-10       5.030121392329e-16       1.350485188369e-13       9.727891684965e-19       1.210908523864e-09       9.894544251999e-11       1.432394487827e+01 
   10       1.153706230810e-10       4.289708822981e-16       1.188587122737e-13       1.188786460691e-18       1.034932495398e-09       8.606894978884e-11       1.750704374011e+01 
   11       1.156578510303e-10       3.605508691861e-16       1.129493328671e-13       1.426367086652e-18       8.723873510011e-10       7.597961754951e-11       2.100845248813e+01 
   12       1.163254857667e-10       3.139887244611e-16       1.141877693472e-13       1.685524125499e-18       7.623841689704e-10       6.734852634897e-11       2.482817112234e+01 
