# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.444904467560e-10       4.328538735696e-15       3.673348016800e-13       2.558233030739e-19       8.640435320204e-09       4.725968645399e-10      -1.919672163383e-12 
    3       1.367216600611e-10       5.548202522485e-15       4.124597061814e-13       5.112461383709e-19       5.306750140959e-09       3.354211921780e-10      -1.453952499908e-12 
    4       1.293584127239e-10       4.801161431923e-15       3.855969148306e-13       8.516949544323e-19       3.691188373299e-09       2.540977175121e-10      -9.519300892156e-13 
    5       1.238394552264e-10       3.205097067381e-15       3.283725957046e-13       1.277369985559e-18       2.756794012009e-09       2.006708252199e-10      -5.292678518594e-13 
    6       1.200422836042e-10       1.794107154986e-15       2.645357936238e-13       1.788461742177e-18       2.154561481285e-09       1.632542056190e-10      -2.178255163675e-13 
    7       1.176293679759e-10       9.712889754294e-16       2.078203611679e-13       2.385116916559e-18       1.739087409335e-09       1.358859896862e-10      -1.909211882417e-14 
    8       1.161869063361e-10       6.283795197656e-16       1.642278045468e-13       3.067476729745e-18       1.437832159831e-09       1.151389016803e-10       8.241872197041e-14 
    9       1.155009968021e-10       5.058667525781e-16       1.350461246459e-13       3.835708572326e-18       1.210908523864e-09       9.894544251999e-11       1.109371727305e-13 
   10       1.153788539271e-10       4.324646102407e-16       1.188562910974e-13       4.690006453433e-18       1.034932495398e-09       8.606894978884e-11       9.333732143056e-14 
   11       1.156677081642e-10       3.647495027939e-16       1.129468292633e-13       5.630577627281e-18       8.723873510011e-10       7.597961754951e-11       5.461570696049e-14 
   12       1.163370876827e-10       3.189575301016e-16       1.141850142985e-13       6.657639072432e-18       7.623841689704e-10       6.734852634897e-11       1.331214131942e-14 
   13       1.172386398748e-10       3.068083017903e-16       1.197046079377e-13       7.771413681427e-18       6.720723052982e-10       6.013008740493e-11      -1.846213107950e-14 
   14       1.183026324281e-10       3.202008334171e-16       1.274325294524e-13       8.972136601404e-18       5.969159446778e-10       5.388286659758e-11      -3.582010419485e-14 
   15       1.195604839918e-10       3.468678604085e-16       1.360315623920e-13       1.026004898507e-17       5.336480990380e-10       4.861918416067e-11      -3.907084905015e-14 
   16       1.210028312776e-10       3.841473522959e-16       1.447627840619e-13       1.163539248915e-17       4.798500267434e-10       4.415309274483e-11      -3.229870982556e-14 
   17       1.225111067289e-10       4.375947625484e-16       1.535313043302e-13       1.309840740867e-17       4.336947401860e-10       4.027435848062e-11      -2.093929515198e-14 
   18       1.241299920045e-10       5.127959945394e-16       1.624678100447e-13       1.464933265600e-17       3.936284801164e-10       3.680363609737e-11      -1.011340556507e-14 
   19       1.258736164315e-10       6.102222128892e-16       1.717772362757e-13       1.628840683303e-17       3.590177290306e-10       3.373128972338e-11      -2.491110515065e-15 
   20       1.276710661605e-10       7.279594342394e-16       1.816519152690e-13       1.801586509311e-17       3.285311106584e-10       3.102956302639e-11       2.023464983402e-16 
