# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
    2       6.379349910267e-10       5.315983920072e-09       3.027155764372e-09       2.127477996912e-09                     -nan       1.902869503623e-09       1.867741659900e-08 
    3       2.805464016862e-10       2.451196225725e-09       1.420187108177e-09       9.952187543904e-10                     -nan       7.611924280862e-10       7.471405818521e-09 
    4       1.606021422748e-10       1.426403156836e-09       8.317247260544e-10       5.822050536991e-10                     -nan       4.228935705093e-10       4.150875974868e-09 
    5       1.046742377540e-10       9.368713990269e-10       5.480236664157e-10       3.833963373791e-10                     -nan       2.718637278622e-10       2.668462567034e-09 
    6       7.382999547618e-11       6.636216950814e-10       3.889272975547e-10       2.719940291906e-10                     -nan       1.903066985181e-10       1.867950624063e-09 
    7       5.494648801667e-11       4.951667777821e-10       2.905815207866e-10       2.031618088356e-10                     -nan       1.409694195582e-10       1.383687351668e-09 
    8       4.252161399582e-11       3.838404324707e-10       2.254768813738e-10       1.576082308356e-10                     -nan       1.087490303974e-10       1.067432603238e-09 
    9       3.390102817797e-11       3.063717375936e-10       1.801202861054e-10       1.258785056948e-10                     -nan       8.650592054141e-11       8.491084736742e-10 
   10       2.767079426538e-11       2.502667766536e-10       1.472450671706e-10       1.028834382163e-10                     -nan       7.048719193342e-11       6.918789042484e-10 
   11       2.301964875862e-11       2.083176608554e-10       1.226499613415e-10       8.568175434692e-11                     -nan       5.855938552277e-11       5.748032156323e-10 
   12       1.945432492179e-11       1.761243552195e-10       1.037663095725e-10       7.247563060438e-11                     -nan       4.943397209672e-11       4.852340272315e-10 
   13       1.666057663764e-11       1.508753482494e-10       8.895087207150e-11       6.211518028693e-11                     -nan       4.229417687092e-11       4.151543983271e-10 
   14       1.443036144773e-11       1.307050262027e-10       7.711227273599e-11       5.383681020443e-11                     -nan       3.660134987604e-11       3.592772847052e-10 
   15       1.262143324100e-11       1.143354932302e-10       6.750241343334e-11       4.711716870244e-11                     -nan       3.198831388969e-11       3.139987087682e-10 
   16       1.113382408157e-11       1.008673596236e-10       5.959448046112e-11       4.158774505009e-11                     -nan       2.819765108260e-11       2.767920226380e-10 
   17       9.895593411846e-12       8.965262862815e-11       5.300873454948e-11       3.698292933651e-11                     -nan       2.504448076384e-11       2.458425539691e-10 
   18       8.849540060980e-12       8.017548325879e-11       4.744274030763e-11       3.309120348021e-11                     -nan       2.238208275211e-11       2.197101922192e-10 
   19       7.969170009101e-12       7.219699006572e-11       4.275648354619e-11       2.981462566494e-11                     -nan       2.014249521224e-11       1.977278722794e-10 
