# Intensity and polariztion noise spectra, DLM: Noise spectra for temperature and polarization
# for l=2 to 4500,
#    1:l                      2:Nl (temp)              3:Nl (pol)           
       2.000000000000e+00      1.000000000000e+100      1.000000000000e+100 
       3.000000000000e+00      1.000000000000e+100      1.000000000000e+100 
       4.000000000000e+00      1.000000000000e+100      1.000000000000e+100 
       5.000000000000e+00      1.000000000000e+100      1.000000000000e+100 
       6.000000000000e+00      1.000000000000e+100      1.000000000000e+100 
       7.000000000000e+00      1.000000000000e+100      1.000000000000e+100 
       8.000000000000e+00      1.000000000000e+100      1.000000000000e+100 
       9.000000000000e+00       1.331308221949e+00       1.688689889253e-04 
       1.000000000000e+01       9.819946867306e-01       1.496220011737e-04 
       1.100000000000e+01       7.422606535594e-01       1.338713348652e-04 
       1.200000000000e+01       5.728413454016e-01       1.207805547874e-04 
       1.300000000000e+01       4.501008742023e-01       1.097551241644e-04 
       1.400000000000e+01       3.592373091080e-01       1.003618529539e-04 
       1.500000000000e+01       2.906844868027e-01       9.227828721798e-05 
       1.600000000000e+01       2.381007798210e-01       8.525987905181e-05 
       1.700000000000e+01       1.971610334301e-01       7.911809079772e-05 
       1.800000000000e+01       1.648664575164e-01       7.370543138735e-05 
       1.900000000000e+01       1.390830120681e-01       6.890500699149e-05 
       2.000000000000e+01       1.182785421257e-01       6.462308226843e-05 
       2.100000000000e+01       1.013235989836e-01       6.078369254842e-05 
       2.200000000000e+01       8.738479086765e-02       5.732468017494e-05 
       2.300000000000e+01       7.582887514204e-02       5.419473702246e-05 
       2.400000000000e+01       6.617852364666e-02       5.135116914338e-05 
       2.500000000000e+01       5.806112405342e-02       4.875818717232e-05 
       2.600000000000e+01       5.119120744166e-02       4.638558458137e-05 
       2.700000000000e+01       4.534030802117e-02       4.420770553376e-05 
       2.800000000000e+01       4.033132865709e-02       4.220263140097e-05 
       2.900000000000e+01       3.601911315355e-02       4.035153409835e-05 
       3.000000000000e+01       3.229029606454e-02       3.863815791451e-05 
       3.100000000000e+01       2.904973541966e-02       3.704840120292e-05 
       3.200000000000e+01       2.622287410040e-02       3.556997633409e-05 
       3.300000000000e+01       2.374560859118e-02       3.419213146041e-05 
       3.400000000000e+01       2.156774264852e-02       3.290542146102e-05 
       3.500000000000e+01       1.964500716772e-02       3.170151828581e-05 
       3.600000000000e+01       1.794170749145e-02       3.057305306821e-05 
       3.700000000000e+01       1.642905140990e-02       2.951348401064e-05 
       3.800000000000e+01       1.508164754346e-02       2.851698529960e-05 
       3.900000000000e+01       1.387696903454e-02       2.757835327370e-05 
       4.000000000000e+01       1.279689483715e-02       2.669292682010e-05 
       4.100000000000e+01       1.182690686937e-02       2.585651956221e-05 
       4.200000000000e+01       1.095273591909e-02       2.506536186506e-05 
       4.300000000000e+01       1.016386956816e-02       2.431605105130e-05 
       4.400000000000e+01       9.449561608245e-03       2.360550851273e-05 
       4.500000000000e+01       8.801328847618e-03       2.293094263660e-05 
       4.600000000000e+01       8.212565454346e-03       2.228981665406e-05 
       4.700000000000e+01       7.676039825198e-03       2.167982067048e-05 
       4.800000000000e+01       7.186857226948e-03       2.109884726125e-05 
       4.900000000000e+01       6.739365532867e-03       2.054497011790e-05 
       5.000000000000e+01       6.329268133809e-03       2.001642531209e-05 
       5.100000000000e+01       5.953406464271e-03       1.951159481337e-05 
       5.200000000000e+01       5.607774441579e-03       1.902899195306e-05 
       5.300000000000e+01       5.289423881735e-03       1.856724857343e-05 
       5.400000000000e+01       4.996300035348e-03       1.812510364012e-05 
       5.500000000000e+01       4.726022853403e-03       1.770139312877e-05 
       5.600000000000e+01       4.475430532291e-03       1.729504102361e-05 
       5.700000000000e+01       4.243743655731e-03       1.690505128922e-05 
       5.800000000000e+01       4.029266057386e-03       1.653050069574e-05 
       5.900000000000e+01       3.829535181405e-03       1.617053239437e-05 
       6.000000000000e+01       3.644190123046e-03       1.582435015388e-05 
       6.100000000000e+01       3.471558327514e-03       1.549121318081e-05 
       6.200000000000e+01       3.311001054130e-03       1.517043145599e-05 
       6.300000000000e+01       3.161100998360e-03       1.486136152884e-05 
       6.400000000000e+01       3.020990350496e-03       1.456340271829e-05 
       6.500000000000e+01       2.890275138494e-03       1.427599367550e-05 
       6.600000000000e+01       2.767829753287e-03       1.399860926913e-05 
       6.700000000000e+01       2.653009951265e-03       1.373075775878e-05 
       6.800000000000e+01       2.545230171316e-03       1.347197822598e-05 
       6.900000000000e+01       2.444306218795e-03       1.322183823628e-05 
       7.000000000000e+01       2.349384753490e-03       1.297993170847e-05 
       7.100000000000e+01       2.260353647888e-03       1.274587697014e-05 
       7.200000000000e+01       2.176140624301e-03       1.251931498101e-05 
       7.300000000000e+01       2.097027859465e-03       1.229990770742e-05 
       7.400000000000e+01       2.022348222806e-03       1.208733663342e-05 
       7.500000000000e+01       1.952089014144e-03       1.188130139522e-05 
       7.600000000000e+01       1.885365580395e-03       1.168151852747e-05 
       7.700000000000e+01       1.822503111373e-03       1.148772031090e-05 
       7.800000000000e+01       1.762965776302e-03       1.129965371180e-05 
       7.900000000000e+01       1.706801326159e-03       1.111707940526e-05 
       8.000000000000e+01       1.653525441448e-03       1.093977087433e-05 
       8.100000000000e+01       1.602695887231e-03       1.076751357858e-05 
       8.200000000000e+01       1.554656955352e-03       1.060010418581e-05 
       8.300000000000e+01       1.509230912073e-03       1.043734986150e-05 
       8.400000000000e+01       1.465777393711e-03       1.027906761107e-05 
       8.500000000000e+01       1.424641345206e-03       1.012508367033e-05 
       8.600000000000e+01       1.385452940756e-03       9.975232940251e-06 
       8.700000000000e+01       1.348094940475e-03       9.829358462242e-06 
       8.800000000000e+01       1.312675720042e-03       9.687310930716e-06 
       8.900000000000e+01       1.278654765956e-03       9.548948239830e-06 
       9.000000000000e+01       1.246367926856e-03       9.414135061711e-06 
       9.100000000000e+01       1.215510813690e-03       9.282742453648e-06 
       9.200000000000e+01       1.186001949966e-03       9.154647491979e-06 
       9.300000000000e+01       1.157765663519e-03       9.029732930597e-06 
       9.400000000000e+01       1.130922009278e-03       8.907886882182e-06 
       9.500000000000e+01       1.105206128843e-03       8.789002520420e-06 
       9.600000000000e+01       1.080556659834e-03       8.672977801645e-06 
       9.700000000000e+01       1.056916108204e-03       8.559715204437e-06 
