# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5500, i.e. number of multipoles equal to 5499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.442212703786e-10       4.349846713399e-15       3.687419665602e-13       0.000000000000e+00       8.652810720363e-09       4.711235663361e-10      -1.924777287267e-12 
    3       1.364962790475e-10       5.557219152575e-15       4.133186912595e-13       0.000000000000e+00       5.314514195883e-09       3.344331570476e-10      -1.455006508234e-12 
    4       1.291813320283e-10       4.792223249943e-15       3.858666230535e-13       0.000000000000e+00       3.696745516164e-09       2.534153903775e-10      -9.501914734102e-13 
    5       1.236972698984e-10       3.187024351154e-15       3.281642249681e-13       0.000000000000e+00       2.761044581646e-09       2.002125135115e-10      -5.261814040585e-13 
    6       1.199326022613e-10       1.777511327714e-15       2.640028951595e-13       0.000000000000e+00       2.157962496630e-09       1.629006240355e-10      -2.146496290845e-13 
    7       1.175023125531e-10       9.602328921647e-16       2.071341351748e-13       0.000000000000e+00       1.741902619519e-09       1.355492953674e-10      -1.669856176995e-14 
    8       1.160848110089e-10       6.209004042940e-16       1.635214387875e-13       0.000000000000e+00       1.440216876875e-09       1.148291292064e-10       8.361757942142e-14 
    9       1.154181482730e-10       4.986994548635e-16       1.344033723011e-13       0.000000000000e+00       1.212957218311e-09       9.871765347416e-11       1.109418071846e-13 
   10       1.152906618058e-10       4.242312381248e-16       1.183466310077e-13       0.000000000000e+00       1.036712858216e-09       8.592207581714e-11       9.245270445431e-14 
   11       1.156069924622e-10       3.558616782836e-16       1.125703887411e-13       0.000000000000e+00       8.738163633714e-10       7.588500903325e-11       5.335593844135e-14 
   12       1.162573953520e-10       3.099858307258e-16       1.139038742823e-13       0.000000000000e+00       7.636506130161e-10       6.716568561954e-11       1.202153040195e-14 
   13       1.171628611030e-10       2.975341000505e-16       1.195049436546e-13       0.000000000000e+00       6.732011674490e-10       6.003135087049e-11      -1.928040267234e-14 
   14       1.182458283592e-10       3.099597786831e-16       1.272655398158e-13       0.000000000000e+00       5.979334709158e-10       5.379177737384e-11      -3.616379215851e-14 
   15       1.195180562348e-10       3.352670804678e-16       1.358658011828e-13       0.000000000000e+00       5.345686200295e-10       4.854415327700e-11      -3.896195268837e-14 
   16       1.209449149549e-10       3.712360823305e-16       1.446211276415e-13       0.000000000000e+00       4.806862398486e-10       4.405714741214e-11      -3.188281713734e-14 
   17       1.224781456012e-10       4.235708623551e-16       1.533868556299e-13       0.000000000000e+00       4.344578126557e-10       4.016215550818e-11      -2.037581178721e-14 
   18       1.240985618551e-10       4.976385064714e-16       1.623441649541e-13       0.000000000000e+00       3.943284012326e-10       3.671418713549e-11      -9.580982799193e-15 
   19       1.258190528471e-10       5.937677655265e-16       1.717001218310e-13       0.000000000000e+00       3.596633090566e-10       3.368936550091e-11      -2.141322164399e-15 
   20       1.276041541075e-10       7.099639312410e-16       1.816210074957e-13       0.000000000000e+00       3.291279933640e-10       3.103076808568e-11       2.923667548941e-16 
   21       1.294652096595e-10       8.455411686344e-16       1.920833055172e-13       0.000000000000e+00       3.022440783786e-10       2.869215538040e-11      -1.608438804814e-15 
   22       1.313946474573e-10       9.999505354011e-16       2.029143425381e-13       0.000000000000e+00       2.783696503587e-10       2.659161226622e-11      -5.971235655833e-15 
   23       1.333855662777e-10       1.173450873138e-15       2.137445786697e-13       0.000000000000e+00       2.571773435400e-10       2.469744281813e-11      -1.102903021751e-14 
   24       1.354127640619e-10       1.366364178749e-15       2.240988974729e-13       0.000000000000e+00       2.381781179845e-10       2.297483936000e-11      -1.493308130232e-14 
   25       1.374940775978e-10       1.578795450913e-15       2.336784533802e-13       0.000000000000e+00       2.211491610709e-10       2.142578209429e-11      -1.684451217476e-14 
   26       1.396405677053e-10       1.811021497372e-15       2.422457543999e-13       0.000000000000e+00       2.057829107415e-10       2.004460003302e-11      -1.642327075439e-14 
   27       1.418336185385e-10       2.065120279477e-15       2.497048614979e-13       0.000000000000e+00       1.918954271140e-10       1.879914581632e-11      -1.431613889250e-14 
   28       1.440379831927e-10       2.343716799049e-15       2.560330393492e-13       0.000000000000e+00       1.792476462275e-10       1.764307722849e-11      -1.157410852431e-14 
   29       1.462639063896e-10       2.648333479614e-15       2.612941893720e-13       0.000000000000e+00       1.677752395713e-10       1.657531500382e-11      -8.888684994198e-15 
   30       1.485257757924e-10       2.980141195130e-15       2.656164994649e-13       0.000000000000e+00       1.573552968504e-10       1.560140875794e-11      -6.961474906683e-15 
   31       1.508270846555e-10       3.340242326704e-15       2.691295419511e-13       0.000000000000e+00       1.477756111590e-10       1.471798087935e-11      -6.433893999755e-15 
   32       1.531701401840e-10       3.729575867845e-15       2.717708447333e-13       0.000000000000e+00       1.389868959908e-10       1.391579376191e-11      -7.086285428599e-15 
   33       1.555471447313e-10       4.148962430229e-15       2.734055834739e-13       0.000000000000e+00       1.309271662111e-10       1.317596487906e-11      -8.323965743342e-15 
   34       1.579437929116e-10       4.599174680185e-15       2.738877448482e-13       0.000000000000e+00       1.234838318886e-10       1.247595120920e-11      -9.495073246578e-15 
   35       1.603660798402e-10       5.081128514577e-15       2.731063025452e-13       0.000000000000e+00       1.166189250256e-10       1.181683331576e-11      -1.032558140576e-14 
   36       1.628211454211e-10       5.595750430238e-15       2.709533578889e-13       0.000000000000e+00       1.102775025197e-10       1.120475702812e-11      -1.062826977850e-14 
   37       1.653107873171e-10       6.143919098191e-15       2.673280382058e-13       0.000000000000e+00       1.043771843170e-10       1.064292978641e-11      -1.026067405331e-14 
   38       1.678362353539e-10       6.726449680236e-15       2.621941751924e-13       0.000000000000e+00       9.890280490120e-11       1.012978792935e-11      -9.379783377731e-15 
   39       1.703937020604e-10       7.344097969135e-15       2.555419953464e-13       0.000000000000e+00       9.383706375671e-11       9.659692930284e-12      -8.275568921150e-15 
   40       1.729722141542e-10       7.997559626677e-15       2.473735470062e-13       0.000000000000e+00       8.913173122013e-11       9.223002256216e-12      -7.308662170108e-15 
   41       1.755589601790e-10       8.687498706859e-15       2.376970490418e-13       0.000000000000e+00       8.472446781678e-11       8.809018137486e-12      -6.815952977397e-15 
   42       1.781590987124e-10       9.414653710194e-15       2.265060911443e-13       0.000000000000e+00       8.060235413442e-11       8.416776191262e-12      -6.779473043283e-15 
   43       1.807812279900e-10       1.017975952986e-14       2.137948060477e-13       0.000000000000e+00       7.675450019383e-11       8.047217249439e-12      -7.057390229137e-15 
   44       1.834316246223e-10       1.098351641378e-14       1.995638555489e-13       0.000000000000e+00       7.315298074278e-11       7.700113383568e-12      -7.471455844509e-15 
   45       1.861141669264e-10       1.182655686822e-14       1.838088106115e-13       0.000000000000e+00       6.976282150676e-11       7.374411276514e-12      -7.846725416262e-15 
   46       1.888307386344e-10       1.270933849438e-14       1.664805838927e-13       0.000000000000e+00       6.657871452790e-11       7.069626109699e-12      -8.150190115709e-15 
   47       1.915804687043e-10       1.363221628091e-14       1.475135761109e-13       0.000000000000e+00       6.359697192698e-11       6.784690169167e-12      -8.389758777714e-15 
   48       1.943592761433e-10       1.459546786781e-14       1.268360771923e-13       0.000000000000e+00       6.080445121124e-11       6.517468473022e-12      -8.576042913465e-15 
   49       1.971596012286e-10       1.559929007075e-14       1.043698231143e-13       0.000000000000e+00       5.817785208237e-11       6.264682023041e-12      -8.722521330497e-15 
   50       1.999735905044e-10       1.664382345172e-14       8.004360042830e-14       0.000000000000e+00       5.569073835294e-11       6.022867600517e-12      -8.844882349222e-15 
   51       2.028042945381e-10       1.772924195739e-14       5.383944139932e-14       0.000000000000e+00       5.333848211398e-11       5.791742344708e-12      -8.958458043377e-15 
   52       2.056570450667e-10       1.885568160409e-14       2.575820199168e-14       0.000000000000e+00       5.111887486932e-11       5.571619786886e-12      -9.080378108948e-15 
   53       2.085361631488e-10       2.002321245313e-14      -4.193177138343e-15       0.000000000000e+00       4.902466260169e-11       5.362425820875e-12      -9.230454329125e-15 
   54       2.114448529155e-10       2.123183645496e-14      -3.600145273176e-14       0.000000000000e+00       4.704320611527e-11       5.163670733219e-12      -9.431306492985e-15 
   55       2.143852863862e-10       2.248151770546e-14      -6.965384285477e-14       0.000000000000e+00       4.516033990426e-11       4.974678438013e-12      -9.700776057264e-15 
   56       2.173591259924e-10       2.377228695575e-14      -1.051607855847e-13       0.000000000000e+00       4.337384946278e-11       4.795404944245e-12      -1.002667172867e-14 
   57       2.203669457574e-10       2.510415928860e-14      -1.425384523824e-13       0.000000000000e+00       4.168274709137e-11       4.625774221946e-12      -1.038597069851e-14 
   58       2.234079549514e-10       2.647710310726e-14      -1.818023145313e-13       0.000000000000e+00       4.008319446085e-11       4.465421253400e-12      -1.075181047322e-14 
   59       2.264798992870e-10       2.789103924236e-14      -2.229671972461e-13       0.000000000000e+00       3.856832653379e-11       4.313674084262e-12      -1.109331431545e-14 
   60       2.295789621150e-10       2.934584005881e-14      -2.660473337820e-13       0.000000000000e+00       3.712807548603e-11       4.169535874690e-12      -1.137541668529e-14 
   61       2.327013297820e-10       3.084125290842e-14      -3.110522684012e-13       0.000000000000e+00       3.575196769353e-11       4.031959517960e-12      -1.156686902095e-14 
   62       2.358485218161e-10       3.237665243013e-14      -3.579733682317e-13       0.000000000000e+00       3.443864667067e-11       3.900784133077e-12      -1.166675186183e-14 
   63       2.390230872731e-10       3.395123081310e-14      -4.067943660890e-13       0.000000000000e+00       3.318818493104e-11       3.775977884030e-12      -1.168363098081e-14 
   64       2.422270010579e-10       3.556406531648e-14      -4.574951683945e-13       0.000000000000e+00       3.199921941508e-11       3.657355466975e-12      -1.162798547970e-14 
   65       2.454616179221e-10       3.721411497595e-14      -5.100517775713e-13       0.000000000000e+00       3.086886974469e-11       3.544569444306e-12      -1.151229278633e-14 
   66       2.487276264628e-10       3.890021731010e-14      -5.644362144407e-13       0.000000000000e+00       2.979265647777e-11       3.437101578728e-12      -1.135111365173e-14 
   67       2.520250031202e-10       4.062108502694e-14      -6.206164406185e-13       0.000000000000e+00       2.876441936287e-11       3.334254167323e-12      -1.116117714719e-14 
   68       2.553535031413e-10       4.237543423755e-14      -6.785596707398e-13       0.000000000000e+00       2.777796315725e-11       3.235333715240e-12      -1.095835906704e-14 
   69       2.587143518193e-10       4.416240662718e-14      -7.382432619494e-13       0.000000000000e+00       2.683256505740e-11       3.140264544998e-12      -1.074771617912e-14 
   70       2.621088148782e-10       4.598122730351e-14      -7.996459016360e-13       0.000000000000e+00       2.592844149536e-11       3.049084523997e-12      -1.053157606556e-14 
   71       2.655376601392e-10       4.783108092679e-14      -8.627444217632e-13       0.000000000000e+00       2.506508242526e-11       2.961760046279e-12      -1.031247049358e-14 
   72       2.690011252512e-10       4.971111177961e-14      -9.275138079618e-13       0.000000000000e+00       2.424121376107e-11       2.878182285775e-12      -1.009314096006e-14 
   73       2.724988854225e-10       5.162042383678e-14      -9.939272086230e-13       0.000000000000e+00       2.345475981448e-11       2.798163449543e-12      -9.876544236148e-15 
   74       2.760300211521e-10       5.355808083506e-14      -1.061955943990e-12       0.000000000000e+00       2.270280573267e-11       2.721433031012e-12      -9.665857911839e-15 
   75       2.795929859608e-10       5.552310634303e-14      -1.131569515253e-12       0.000000000000e+00       2.198155993610e-11       2.647634063223e-12      -9.464485940551e-15 
   76       2.831862757741e-10       5.751442389889e-14      -1.202735130268e-12       0.000000000000e+00       2.128729556802e-11       2.576415574223e-12      -9.275568913060e-15 
   77       2.868106493242e-10       5.953066466693e-14      -1.275416160778e-12       0.000000000000e+00       2.061945607493e-11       2.507737699826e-12      -9.100399522582e-15 
   78       2.904672559042e-10       6.157032467016e-14      -1.349573419073e-12       0.000000000000e+00       1.997805033191e-11       2.441615661032e-12      -8.939726883049e-15 
   79       2.941569520460e-10       6.363182047032e-14      -1.425165615596e-12       0.000000000000e+00       1.936270666728e-11       2.378026752460e-12      -8.794221629348e-15 
   80       2.978802836389e-10       6.571348800870e-14      -1.502149358122e-12       0.000000000000e+00       1.877265537587e-11       2.316908568290e-12      -8.664471305989e-15 
   81       3.016374680494e-10       6.781358144705e-14      -1.580479150941e-12       0.000000000000e+00       1.820671123226e-11       2.258157228210e-12      -8.550975755761e-15 
   82       3.054283762401e-10       6.993027200837e-14      -1.660107394037e-12       0.000000000000e+00       1.766325600398e-11       2.201625603365e-12      -8.454142508395e-15 
   83       3.092525148888e-10       7.206164681783e-14      -1.740984382273e-12       0.000000000000e+00       1.714022096475e-11       2.147121542297e-12      -8.374282169226e-15 
   84       3.131093450269e-10       7.420577831363e-14      -1.823058720924e-12       0.000000000000e+00       1.663558978897e-11       2.094455680839e-12      -8.311243197114e-15 
   85       3.169993378134e-10       7.636094823981e-14      -1.906278653255e-12       0.000000000000e+00       1.614904132889e-11       2.043597864461e-12      -8.263256773137e-15 
   86       3.209230618156e-10       7.852545883414e-14      -1.990590952550e-12       0.000000000000e+00       1.568054838019e-11       1.994543525359e-12      -8.227891090573e-15 
   87       3.248808500080e-10       8.069756558618e-14      -2.075940531408e-12       0.000000000000e+00       1.522987290263e-11       1.947265477279e-12      -8.202384424713e-15 
   88       3.288727875467e-10       8.287547726412e-14      -2.162270447924e-12       0.000000000000e+00       1.479655727924e-11       1.901712974798e-12      -8.183634460832e-15 
   89       3.328986995445e-10       8.505735594179e-14      -2.249521911864e-12       0.000000000000e+00       1.437991557537e-11       1.857810772617e-12      -8.168187622167e-15 
   90       3.369581388462e-10       8.724131702549e-14      -2.337634290845e-12       0.000000000000e+00       1.397902479791e-11       1.815458184848e-12      -8.152228397897e-15 
   91       3.410503738034e-10       8.942542928091e-14      -2.426545116515e-12       0.000000000000e+00       1.359271615438e-11       1.774528144307e-12      -8.131568671112e-15 
   92       3.451743760494e-10       9.160771486009e-14      -2.516190090727e-12       0.000000000000e+00       1.321956631204e-11       1.734866261798e-12      -8.101637046797e-15 
   93       3.493291465127e-10       9.378617954805e-14      -2.606503911159e-12       0.000000000000e+00       1.285823516385e-11       1.696328524232e-12      -8.058550215173e-15 
   94       3.535147760987e-10       9.595890864825e-14      -2.697422876787e-12       0.000000000000e+00       1.250855622189e-11       1.658902917938e-12      -8.002534542403e-15 
   95       3.577315226739e-10       9.812398563520e-14      -2.788882687520e-12       0.000000000000e+00       1.217059482123e-11       1.622604443342e-12      -7.935001750369e-15 
   96       3.619794795615e-10       1.002794636554e-13      -2.880817676872e-12       0.000000000000e+00       1.184431229451e-11       1.587437701179e-12      -7.857516858706e-15 
   97       3.662585679591e-10       1.024233659691e-13      -2.973160829389e-12       0.000000000000e+00       1.152956198742e-11       1.553396482175e-12      -7.771802365705e-15 
   98       3.705685293569e-10       1.045536863921e-13      -3.065843798073e-12       0.000000000000e+00       1.122608527438e-11       1.520463356722e-12      -7.679742429210e-15 
   99       3.749089179555e-10       1.066683897372e-13      -3.158796921814e-12       0.000000000000e+00       1.093350757404e-11       1.488609264554e-12      -7.583387047515e-15 
  100       3.792790930837e-10       1.087654122564e-13      -3.251949242811e-12       0.000000000000e+00       1.065133436487e-11       1.457793104432e-12      -7.484956240261e-15 
  101       3.836782116167e-10       1.108426620820e-13      -3.345228524002e-12       0.000000000000e+00       1.037894720076e-11       1.427961323815e-12      -7.386844229339e-15 
  102       3.881052203940e-10       1.128980196691e-13      -3.438561266492e-12       0.000000000000e+00       1.011559972661e-11       1.399047508539e-12      -7.291623619785e-15 
  103       3.925588486373e-10       1.149293382367e-13      -3.531872726974e-12       0.000000000000e+00       9.860413693832e-12       1.370971972497e-12      -7.202049580680e-15 
  104       3.970378787027e-10       1.169344971339e-13      -3.625087703028e-12       0.000000000000e+00       9.612578075682e-12       1.343660391714e-12      -7.120457279752e-15 
  105       4.015420163236e-10       1.189115691975e-13      -3.718132972276e-12       0.000000000000e+00       9.371985627887e-12       1.317103457122e-12      -7.046852479804e-15 
  106       4.060711243371e-10       1.208586769305e-13      -3.810935216743e-12       0.000000000000e+00       9.138675290254e-12       1.291304552562e-12      -6.980569603335e-15 
  107       4.106249503783e-10       1.227739426079e-13      -3.903420309964e-12       0.000000000000e+00       8.912635034376e-12       1.266261231356e-12      -6.920852989172e-15 
  108       4.152031223573e-10       1.246554893001e-13      -3.995513342851e-12       0.000000000000e+00       8.693800111071e-12       1.241965015259e-12      -6.866854405824e-15 
  109       4.198051439352e-10       1.265014418957e-13      -4.087138649557e-12       0.000000000000e+00       8.482051297827e-12       1.218401193424e-12      -6.817630564844e-15 
