# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.442217892262e-10       4.350100711073e-15       3.687419621516e-13       2.539976682071e-19       8.652810720363e-09       4.711235663361e-10      -1.924777287267e-12 
    3       1.364973142198e-10       5.557727274482e-15       4.133186716109e-13       5.081218533450e-19       5.314514195883e-09       3.344331570476e-10      -1.455006508234e-12 
    4       1.291830517777e-10       4.793070397614e-15       3.858665665903e-13       8.471474087289e-19       3.696745516164e-09       2.534153903775e-10      -9.501914734102e-13 
    5       1.236998393023e-10       3.188295585455e-15       3.281640963243e-13       1.271233424944e-18       2.761044581646e-09       2.002125135115e-10      -5.261814040585e-13 
    6       1.199361825853e-10       1.779291900844e-15       2.640026421690e-13       1.780570812158e-18       2.157962496630e-09       1.629006240355e-10      -2.146496290845e-13 
    7       1.175070607109e-10       9.626082748051e-16       2.071336861288e-13       2.375377450802e-18       1.741902619519e-09       1.355492953674e-10      -1.669856176995e-14 
    8       1.160908791303e-10       6.239563073111e-16       1.635206999943e-13       3.055892800687e-18       1.440216876875e-09       1.148291292064e-10       8.361757942142e-14 
    9       1.154256833867e-10       5.025218451299e-16       1.344022259743e-13       3.822372172299e-18       1.212957218311e-09       9.871765347416e-11       1.109418071846e-13 
   10       1.152998056423e-10       4.289063482056e-16       1.183449334965e-13       4.675080874894e-18       1.036712858216e-09       8.592207581714e-11       9.245270445431e-14 
   11       1.156178813754e-10       3.614760099154e-16       1.125679691099e-13       5.614288458053e-18       8.738163633714e-10       7.588500903325e-11       5.335593844135e-14 
   12       1.162701603552e-10       3.166261521903e-16       1.139005332358e-13       6.640263256480e-18       7.636506130161e-10       6.716568561954e-11       1.202153040195e-14 
   13       1.171776280113e-10       3.052874377039e-16       1.195004527956e-13       7.753267432377e-18       6.732011674490e-10       6.003135087049e-11      -1.928040267234e-14 
   14       1.182627180260e-10       3.189134030430e-16       1.272596412184e-13       8.953552686311e-18       5.979334709158e-10       5.379177737384e-11      -3.616379215851e-14 
   15       1.195371848694e-10       3.455084873717e-16       1.358582072554e-13       1.024135677712e-17       5.345686200295e-10       4.854415327700e-11      -3.896195268837e-14 
