# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 5000, i.e. number of multipoles equal to 4999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381672014845e-10       4.179499519979e-15       3.519335482161e-13       0.000000000000e+00       8.224235296579e-09       4.534294139335e-10      -1.842365315362e-12 
    3       1.306685760981e-10       5.354348861135e-15       3.955012534046e-13       0.000000000000e+00       5.061857152849e-09       3.216054813876e-10      -1.394924173931e-12 
    4       1.236000884518e-10       4.628865887344e-15       3.698082987036e-13       0.000000000000e+00       3.520763584680e-09       2.435800762663e-10      -9.127450443814e-13 
    5       1.183076831274e-10       3.086039251376e-15       3.148767002681e-13       0.000000000000e+00       2.629603936476e-09       1.924270199147e-10      -5.069359622242e-13 
    6       1.146781462424e-10       1.724512560556e-15       2.535647110513e-13       0.000000000000e+00       2.055448051297e-09       1.565774633355e-10      -2.081026856155e-13 
    7       1.123124077909e-10       9.315386227515e-16       1.990691921846e-13       0.000000000000e+00       1.659442420803e-09       1.302650380990e-10      -1.764649924048e-14 
    8       1.109310370256e-10       6.011013441242e-16       1.571594496389e-13       0.000000000000e+00       1.372477389555e-09       1.103072075294e-10       7.941327426482e-14 
    9       1.102859225823e-10       4.824289983678e-16       1.291089609655e-13       0.000000000000e+00       1.156453045176e-09       9.481926860249e-11       1.064368624820e-13 
   10       1.101460696248e-10       4.107510775256e-16       1.135895525540e-13       0.000000000000e+00       9.889412239112e-10       8.255035893532e-11       8.927838516009e-14 
   11       1.104530443455e-10       3.446472662115e-16       1.079389409862e-13       0.000000000000e+00       8.316788528016e-10       7.293358510803e-11       5.203063281735e-14 
   12       1.110547342439e-10       2.997605847990e-16       1.090990788145e-13       0.000000000000e+00       7.268340016972e-10       6.448482493785e-11       1.227547656854e-14 
   13       1.119009601352e-10       2.870888683944e-16       1.143862748399e-13       0.000000000000e+00       6.407507805186e-10       5.762514931832e-11      -1.799029203602e-14 
   14       1.129450787931e-10       2.986642795332e-16       1.217804422030e-13       0.000000000000e+00       5.691190433969e-10       5.165317514906e-11      -3.451265511039e-14 
   15       1.141731118872e-10       3.227439619204e-16       1.299914369604e-13       0.000000000000e+00       5.088142247774e-10       4.663052069376e-11      -3.750102374748e-14 
   16       1.155093051211e-10       3.568046100335e-16       1.383566164017e-13       0.000000000000e+00       4.575336692494e-10       4.230039922715e-11      -3.091308401229e-14 
   17       1.169821415846e-10       4.063743851404e-16       1.466585220856e-13       0.000000000000e+00       4.135374766691e-10       3.852096946810e-11      -1.994096658100e-14 
   18       1.185281573638e-10       4.768832949152e-16       1.551535008879e-13       0.000000000000e+00       3.753453949044e-10       3.522557754266e-11      -9.473984542221e-15 
   19       1.201585373604e-10       5.686590902931e-16       1.640636574513e-13       0.000000000000e+00       3.423554004311e-10       3.236649016179e-11      -2.117555237264e-15 
   20       1.218661553984e-10       6.797012765587e-16       1.735301965409e-13       0.000000000000e+00       3.132953861480e-10       2.982726793042e-11       4.174717119767e-16 
   21       1.236523630375e-10       8.093672024585e-16       1.835058725620e-13       0.000000000000e+00       2.877100453081e-10       2.756211581142e-11      -1.297411714300e-15 
   22       1.254909200843e-10       9.571662627880e-16       1.938035847356e-13       0.000000000000e+00       2.649890549530e-10       2.551519337407e-11      -5.508534485706e-15 
   23       1.273868761987e-10       1.123297481733e-15       2.040962391001e-13       0.000000000000e+00       2.448208692607e-10       2.367872531647e-11      -1.047344054461e-14 
   24       1.293341152429e-10       1.307991992820e-15       2.139693385607e-13       0.000000000000e+00       2.267398705455e-10       2.203684103137e-11      -1.433793968388e-14 
   25       1.313343755238e-10       1.511336155511e-15       2.231349927491e-13       0.000000000000e+00       2.105339351505e-10       2.056831230294e-11      -1.627006796147e-14 
   26       1.333761153850e-10       1.733605073110e-15       2.313465120012e-13       0.000000000000e+00       1.959103150457e-10       1.923592589083e-11      -1.593310256826e-14 
   27       1.354545592618e-10       1.976813130300e-15       2.384870961113e-13       0.000000000000e+00       1.826939511144e-10       1.802277664959e-11      -1.394342634925e-14 
   28       1.375583641110e-10       2.243492146994e-15       2.445115245565e-13       0.000000000000e+00       1.706573349060e-10       1.691060796459e-11      -1.130857803316e-14 
   29       1.396966656837e-10       2.535048480469e-15       2.494896713874e-13       0.000000000000e+00       1.597392767014e-10       1.589733189529e-11      -8.694670058389e-15 
   30       1.418737305757e-10       2.852516764133e-15       2.535671619204e-13       0.000000000000e+00       1.498228423212e-10       1.497675959688e-11      -6.780403228241e-15 
   31       1.440833563685e-10       3.196897125360e-15       2.568918803571e-13       0.000000000000e+00       1.407061068423e-10       1.413404315653e-11      -6.191160950379e-15 
   32       1.463285762197e-10       3.569248297865e-15       2.594076987929e-13       0.000000000000e+00       1.323421594268e-10       1.336086564482e-11      -6.736585182555e-15 
   33       1.486066602943e-10       3.970621135737e-15       2.609822641976e-13       0.000000000000e+00       1.246719835544e-10       1.264420311345e-11      -7.873851124610e-15 
   34       1.509079562374e-10       4.401982644329e-15       2.614678125823e-13       0.000000000000e+00       1.175883965212e-10       1.196769567073e-11      -9.001139704582e-15 
   35       1.532345551638e-10       4.864050517908e-15       2.607348012081e-13       0.000000000000e+00       1.110552568604e-10       1.133323074222e-11      -9.838965678316e-15 
   36       1.555864211178e-10       5.357387684629e-15       2.586476650106e-13       0.000000000000e+00       1.050202712620e-10       1.074615273207e-11      -1.017382210755e-14 
   37       1.579592766468e-10       5.882528743650e-15       2.550832600374e-13       0.000000000000e+00       9.940503374452e-11       1.020883476960e-11      -9.836335693236e-15 
   38       1.603572424313e-10       6.440294591686e-15       2.500285182814e-13       0.000000000000e+00       9.419511885690e-11       9.719116376528e-12      -8.978566518336e-15 
   39       1.627832290623e-10       7.031575454322e-15       2.435157748964e-13       0.000000000000e+00       8.937407226301e-11       9.270818195112e-12      -7.892143899121e-15 
   40       1.652348304332e-10       7.657245374142e-15       2.355982369886e-13       0.000000000000e+00       8.489600353799e-11       8.853743085287e-12      -6.939947685300e-15 
   41       1.677070287247e-10       8.318116965349e-15       2.263287881812e-13       0.000000000000e+00       8.070159159476e-11       8.456783076800e-12      -6.461037346059e-15 
   42       1.702027270612e-10       9.014790420536e-15       2.156850855303e-13       0.000000000000e+00       7.677854129148e-11       8.079239310227e-12      -6.437164464519e-15 
   43       1.727246943006e-10       9.747753630072e-15       2.036221925327e-13       0.000000000000e+00       7.311648468349e-11       7.722639122470e-12      -6.725437750699e-15 
   44       1.752722566337e-10       1.051741817451e-14       1.900926430628e-13       0.000000000000e+00       6.968883809340e-11       7.387533603636e-12      -7.146408896900e-15 
   45       1.778429455907e-10       1.132416019230e-14       1.750478954441e-13       0.000000000000e+00       6.646230906111e-11       7.073642811695e-12      -7.523808952769e-15 
   46       1.804388327829e-10       1.216846714079e-14       1.584438988519e-13       0.000000000000e+00       6.343184916719e-11       6.780554220335e-12      -7.823247462051e-15 
   47       1.830615092122e-10       1.305082798974e-14       1.402366959986e-13       0.000000000000e+00       6.059395436476e-11       6.507080744949e-12      -8.051135949920e-15 
   48       1.857100404076e-10       1.397169065141e-14       1.203806369287e-13       0.000000000000e+00       5.793612208425e-11       6.250970042213e-12      -8.216447487050e-15 
   49       1.883807401227e-10       1.493146049973e-14       9.882818849520e-14       0.000000000000e+00       5.543618192141e-11       6.008828476839e-12      -8.330876078359e-15 
   50       1.910692972238e-10       1.593047235219e-14       7.553497531112e-14       0.000000000000e+00       5.306897813331e-11       5.777091934049e-12      -8.409320329250e-15 
   51       1.937783619820e-10       1.696890088570e-14       5.047695772691e-14       0.000000000000e+00       5.083010832852e-11       5.555425314089e-12      -8.471119435638e-15 
   52       1.965116278166e-10       1.804682334436e-14       2.363758728760e-14       0.000000000000e+00       4.871747142932e-11       5.344114363953e-12      -8.539428202661e-15 
   53       1.992715452574e-10       1.916424128635e-14      -4.996962872391e-15       0.000000000000e+00       4.672416336555e-11       5.143073346257e-12      -8.641092595243e-15 
   54       2.020592063802e-10       2.032107785426e-14      -3.543774236662e-14       0.000000000000e+00       4.483815373008e-11       4.951818269324e-12      -8.806824386956e-15 
   55       2.048749091987e-10       2.151722428665e-14      -6.769308991247e-14       0.000000000000e+00       4.304595921856e-11       4.769701387259e-12      -9.061474144399e-15 
   56       2.077202797736e-10       2.275269923688e-14      -1.017689792200e-13       0.000000000000e+00       4.134547333839e-11       4.596744245803e-12      -9.391620398406e-15 
   57       2.105964748604e-10       2.402752425121e-14      -1.376686615319e-13       0.000000000000e+00       3.973575751156e-11       4.432964693350e-12      -9.770234838367e-15 
   58       2.135034610082e-10       2.534167720159e-14      -1.753925013328e-13       0.000000000000e+00       3.821315955409e-11       4.278117512886e-12      -1.016567201434e-14 
   59       2.164399254866e-10       2.669509147452e-14      -2.149379254407e-13       0.000000000000e+00       3.677114605035e-11       4.131677831424e-12      -1.054145820678e-14 
   60       2.194031872135e-10       2.808765515977e-14      -2.562993720983e-13       0.000000000000e+00       3.540013472747e-11       3.992824529444e-12      -1.085608029628e-14 
   61       2.223904497476e-10       2.951913239723e-14      -2.994687466413e-13       0.000000000000e+00       3.409015701030e-11       3.860668815574e-12      -1.107246337231e-14 
   62       2.254030904291e-10       3.098890862224e-14      -3.444370231941e-13       0.000000000000e+00       3.283992328034e-11       3.735037437402e-12      -1.118936712872e-14 
   63       2.284431803035e-10       3.249618643810e-14      -3.911929137897e-13       0.000000000000e+00       3.164950421711e-11       3.615836630548e-12      -1.121669414375e-14 
   64       2.315121814410e-10       3.404005519608e-14      -4.397223593721e-13       0.000000000000e+00       3.051760388700e-11       3.502813829239e-12      -1.116651738336e-14 
   65       2.346109004471e-10       3.561948771438e-14      -4.900084949607e-13       0.000000000000e+00       2.944148191711e-11       3.395548854648e-12      -1.105317648738e-14 
   66       2.377394419725e-10       3.723333699700e-14      -5.420316148150e-13       0.000000000000e+00       2.841687566909e-11       3.293445103242e-12      -1.089337405554e-14 
   67       2.408971622234e-10       3.888033295274e-14      -5.957691375996e-13       0.000000000000e+00       2.743792241301e-11       3.195720735128e-12      -1.070627193362e-14 
   68       2.440832800261e-10       4.055921379900e-14      -6.511971358652e-13       0.000000000000e+00       2.649872604123e-11       3.101608899644e-12      -1.050991061594e-14 
   69       2.472989577200e-10       4.226915852605e-14      -7.082953622384e-13       0.000000000000e+00       2.559859981310e-11       3.011025220673e-12      -1.030940973185e-14 
   70       2.505455603292e-10       4.400943656978e-14      -7.670431837699e-13       0.000000000000e+00       2.473775099904e-11       2.924020353217e-12      -1.010653865443e-14 
   71       2.538240061741e-10       4.577928104076e-14      -8.274181128090e-13       0.000000000000e+00       2.391569520888e-11       2.840579509710e-12      -9.903184046827e-15 
   72       2.571347371989e-10       4.757788888777e-14      -8.893958121761e-13       0.000000000000e+00       2.313122062554e-11       2.760618994589e-12      -9.701352110388e-15 
   73       2.604776892986e-10       4.940442106141e-14      -9.529501003361e-13       0.000000000000e+00       2.238235223875e-11       2.683982738857e-12      -9.503170832826e-15 
   74       2.638522626470e-10       5.125800267760e-14      -1.018052956570e-12       0.000000000000e+00       2.166631607870e-11       2.610438834654e-12      -9.310892236359e-15 
   75       2.672572920235e-10       5.313772318117e-14      -1.084674526149e-12       0.000000000000e+00       2.097950344980e-11       2.539676069822e-12      -9.126894625858e-15 
   76       2.706916303455e-10       5.504257286453e-14      -1.152782725939e-12       0.000000000000e+00       2.031836720471e-11       2.471386104156e-12      -8.953371057419e-15 
   77       2.741560877054e-10       5.697123869774e-14      -1.222341966744e-12       0.000000000000e+00       1.968237831829e-11       2.405534958866e-12      -8.791324188925e-15 
   78       2.776517936601e-10       5.892227139124e-14      -1.293314206293e-12       0.000000000000e+00       1.907154598392e-11       2.342134968547e-12      -8.641391368483e-15 
   79       2.811795985730e-10       6.089414461470e-14      -1.365659325165e-12       0.000000000000e+00       1.848551701818e-11       2.281161849863e-12      -8.504138034845e-15 
   80       2.847400565155e-10       6.288525385552e-14      -1.439335123771e-12       0.000000000000e+00       1.792355920679e-11       2.222552992266e-12      -8.380053531256e-15 
   81       2.883334081688e-10       6.489391527728e-14      -1.514297319327e-12       0.000000000000e+00       1.738454465059e-11       2.166205748713e-12      -8.269546919293e-15 
   82       2.919595637259e-10       6.691836457822e-14      -1.590499542842e-12       0.000000000000e+00       1.686693311140e-11       2.111975726387e-12      -8.172942792709e-15 
   83       2.956180857923e-10       6.895675584969e-14      -1.667893336090e-12       0.000000000000e+00       1.636875535806e-11       2.059675077416e-12      -8.090477091281e-15 
   84       2.993084738399e-10       7.100723077113e-14      -1.746428681273e-12       0.000000000000e+00       1.588809203812e-11       2.009119535657e-12      -8.022023969799e-15 
