# dimensionless DLM: total delensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.442211544095e-10       4.349910294313e-15       3.687416703049e-13       6.508735311017e-20       8.658601461385e-09       4.712830094414e-10       8.040912219913e+02 
    3       1.364962091927e-10       5.557337383248e-15       4.133177129513e-13       1.296949152441e-19       5.323031677275e-09       3.345691144846e-10       1.618683635190e+03 
    4       1.291812430070e-10       4.792418040896e-15       3.858647790531e-13       2.156048299578e-19       3.705458494145e-09       2.535306633883e-10       2.715308043995e+03 
    5       1.236971132467e-10       3.187325217109e-15       3.281618201145e-13       3.229209081202e-19       2.769189878610e-09       2.003116308207e-10       4.099215044011e+03 
    6       1.199322312636e-10       1.777945693529e-15       2.640002071469e-13       4.517175837665e-19       2.165435812452e-09       1.629865600720e-10       5.775655230841e+03 
    7       1.175021368551e-10       9.608228684816e-16       2.071313352476e-13       6.020089856482e-19       1.748789680005e-09       1.356252323053e-10       7.749879200089e+03 
    8       1.160846486763e-10       6.216647742733e-16       1.635187159408e-13       7.737851504052e-19       1.446637061335e-09       1.148984324271e-10       1.002713754736e+04 
    9       1.154206115663e-10       4.996667997118e-16       1.344033637916e-13       9.670598517037e-19       1.219013291956e-09       9.878261671097e-11       1.261268086825e+04 
   10       1.152936747299e-10       4.254129074887e-16       1.183463658305e-13       1.181779359944e-18       1.042474531672e-09       8.598420359139e-11       1.551175975837e+04 
   11       1.156103671520e-10       3.572789063602e-16       1.125697318657e-13       1.417953001780e-18       8.756662264852e-10       7.593310184607e-11       1.872962481333e+04 
   12       1.162616588447e-10       3.116601946517e-16       1.139029676792e-13       1.675572610790e-18       7.654110405932e-10       6.721253080881e-11       2.227152662872e+04 
   13       1.171679018373e-10       2.994871859670e-16       1.195035922199e-13       1.954638037547e-18       6.748807196711e-10       6.007592062834e-11       2.614271580015e+04 
   14       1.182514785682e-10       3.122131104911e-16       1.272635664528e-13       2.255154892731e-18       5.995387102791e-10       5.383405407470e-11       3.034844292322e+04 
   15       1.195240927158e-10       3.378419606291e-16       1.358635203948e-13       2.577131606061e-18       5.361052252502e-10       4.858463529685e-11       3.489395859354e+04 
   16       1.209523004507e-10       3.741539316929e-16       1.446183264635e-13       2.920572743931e-18       4.821603955327e-10       4.409637215656e-11       3.978451340671e+04 
   17       1.224860496979e-10       4.268534502676e-16       1.533836041742e-13       3.285484221980e-18       4.358746543584e-10       4.020068257923e-11       4.502535795834e+04 
