# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.381676588433e-10       4.179745806989e-15       3.519331980576e-13       2.484468278816e-19       8.224235296579e-09       4.534294139335e-10      -1.842365315362e-12 
    3       1.306694932391e-10       5.354834425595e-15       3.955002772897e-13       4.965248613164e-19       5.061857152849e-09       3.216054813876e-10      -1.394924173931e-12 
    4       1.236016319788e-10       4.629674263347e-15       3.698066752692e-13       8.271892693543e-19       3.520763584680e-09       2.435800762663e-10      -9.127450443814e-13 
    5       1.183100104733e-10       3.087259826202e-15       3.148745900599e-13       1.240623513257e-18       2.629603936476e-09       1.924270199147e-10      -5.069359622242e-13 
    6       1.146814075950e-10       1.726233791046e-15       2.535623491749e-13       1.737001654597e-18       2.055448051297e-09       1.565774633355e-10      -2.081026856155e-13 
    7       1.123167471823e-10       9.338442326996e-16       1.990667812099e-13       2.316457266273e-18       1.659442420803e-09       1.302650380990e-10      -1.764649924048e-14 
    8       1.109365920364e-10       6.040720682912e-16       1.571570941638e-13       2.979118888812e-18       1.372477389555e-09       1.103072075294e-10       7.941327426482e-14 
    9       1.102928255496e-10       4.861461508120e-16       1.291066406505e-13       3.725139321876e-18       1.156453045176e-09       9.481926860249e-11       1.064368624820e-13 
   10       1.101544496804e-10       4.152980573100e-16       1.135871287981e-13       4.554695750587e-18       9.889412239112e-10       8.255035893532e-11       8.927838516009e-14 
   11       1.104630243706e-10       3.501085974279e-16       1.079361886253e-13       5.467977037898e-18       8.316788528016e-10       7.293358510803e-11       5.203063281735e-14 
