# DLM: Best estimate lensing noise spectra [l(l+1)/2pi] N_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:MV (DIAG)              3:TT-TT                  4:TE-TE                  5:EE-EE                  6:BB-BB                  7:EB-EB                  8:TB-TB              
    2       6.434912536059e-10       5.337825765811e-09       3.030784681063e-09       2.130229744338e-09                     -nan       1.941686342706e-09       1.912640198023e-08 
    3       2.831809379433e-10       2.460845209406e-09       1.421939503982e-09       9.964957231648e-10                     -nan       7.767209050947e-10       7.651018456993e-09 
    4       1.621471737920e-10       1.431931571522e-09       8.327618739691e-10       5.829499766134e-10                     -nan       4.315207940240e-10       4.250664193306e-09 
    5       1.056925162343e-10       9.404761348934e-10       5.487106112037e-10       3.838862795568e-10                     -nan       2.774098873370e-10       2.732613366757e-09 
    6       7.455266846008e-11       6.661651375774e-10       3.894163209561e-10       2.723414125383e-10                     -nan       1.941890456459e-10       1.912856829417e-09 
    7       5.548639437482e-11       4.970603648603e-10       2.909476482178e-10       2.034212237992e-10                     -nan       1.438452500946e-10       1.416951633366e-09 
    8       4.294052233435e-11       3.853063767004e-10       2.257614206512e-10       1.578094758134e-10                     -nan       1.109675387918e-10       1.093093943258e-09 
    9       3.423563974915e-11       3.075409425852e-10       1.803478762797e-10       1.260392557257e-10                     -nan       8.827065020889e-11       8.695211680514e-10 
   10       2.794430648424e-11       2.512214979804e-10       1.474313238037e-10       1.030148524331e-10                     -nan       7.192512505733e-11       7.085116983077e-10 
   11       2.324745086255e-11       2.091122417329e-10       1.228052642305e-10       8.579122996983e-11                     -nan       5.975398030454e-11       5.886214319263e-10 
   12       1.964703200323e-11       1.767961653336e-10       1.038978289881e-10       7.256826715484e-11                     -nan       5.044239979225e-11       4.968989390898e-10 
   13       1.682574963052e-11       1.514509444742e-10       8.906372105374e-11       6.219460851758e-11                     -nan       4.315694588370e-11       4.251345474624e-10 
   14       1.457353283467e-11       1.312038058633e-10       7.721019592927e-11       5.390568594101e-11                     -nan       3.734797970104e-11       3.679141091963e-10 
   15       1.274674510205e-11       1.147719588094e-10       6.758821639067e-11       4.717747980798e-11                     -nan       3.264083328773e-11       3.215470048408e-10 
   16       1.124443937678e-11       1.012525729346e-10       5.967030679251e-11       4.164100917799e-11                     -nan       2.877283726102e-11       2.834458442962e-10 
   17       9.993969345187e-12       8.999517573807e-11       5.307625035544e-11       3.703032530727e-11                     -nan       2.555533919380e-11       2.517523292537e-10 
   18       8.937571771180e-12       8.048198113975e-11       4.750323106159e-11       3.313364032364e-11                     -nan       2.283862568151e-11       2.249917280058e-10 
   19       8.048492374127e-12       7.247314424837e-11       4.281105864619e-11       2.985288755011e-11                     -nan       2.055334838803e-11       2.024809386465e-10 
   20       7.282697760904e-12       6.557334316682e-11       3.876833323962e-11       2.702625786118e-11                     -nan       1.858569645458e-11       1.830988763796e-10 
   21       6.622655366493e-12       5.962519702803e-11       3.528300944271e-11       2.458937054906e-11                     -nan       1.689031932325e-11       1.663988240989e-10 
   22       6.047627487841e-12       5.444228232507e-11       3.224592168420e-11       2.246589425685e-11                     -nan       1.541374323105e-11       1.518540442814e-10 
   23       5.546477118774e-12       4.992451870037e-11       2.959851335498e-11       2.061487453574e-11                     -nan       1.412721350142e-11       1.391812946719e-10 
   24       5.104404096994e-12       4.593880453952e-11       2.726282021511e-11       1.898180052913e-11                     -nan       1.299259280833e-11       1.280049069367e-10 
   25       4.714241824661e-12       4.242068760261e-11       2.520112344495e-11       1.754029229009e-11                     -nan       1.199140117614e-11       1.181428480786e-10 
   26       4.367051044972e-12       3.928971460851e-11       2.336628459444e-11       1.625739315130e-11                     -nan       1.110063420248e-11       1.093685154952e-10 
   27       4.057386631969e-12       3.649687911811e-11       2.172960731936e-11       1.511303627067e-11                     -nan       1.030627203991e-11       1.015438092317e-10 
   28       3.778646091987e-12       3.398273698660e-11       2.025625109358e-11       1.408286511971e-11                     -nan       9.591336561219e-12       9.450148752579e-11 
   29       3.528724027740e-12       3.172833819977e-11       1.893514577761e-11       1.315913252227e-11                     -nan       8.950396418924e-12       8.818805171250e-11 
   30       3.304232249431e-12       2.970316752733e-11       1.774841484421e-11       1.232933903265e-11                     -nan       8.374739545164e-12       8.251768502939e-11 
   31       3.099705009765e-12       2.785798921818e-11       1.666717552162e-11       1.157329826761e-11                     -nan       7.850331878861e-12       7.735214478801e-11 
   32       2.913699661077e-12       2.617980786332e-11       1.568383262998e-11       1.088569548361e-11                     -nan       7.373457417281e-12       7.265482840455e-11 
   33       2.744574141449e-12       2.465382707177e-11       1.478972306170e-11       1.026047204370e-11                     -nan       6.939894713762e-12       6.838415372513e-11 
   34       2.589547979708e-12       2.325499123493e-11       1.397014727298e-11       9.687354425593e-12                     -nan       6.542508580713e-12       6.446983559501e-11 
   35       2.447602339982e-12       2.197411750436e-11       1.321973531275e-11       9.162585561817e-12                     -nan       6.178677950208e-12       6.088605641541e-11 
   36       2.317368668104e-12       2.079887058472e-11       1.253125779487e-11       8.681111065428e-12                     -nan       5.844888889185e-12       5.759820275563e-11 
   37       2.196878235731e-12       1.971150626541e-11       1.189430015424e-11       8.235653116203e-12                     -nan       5.536092507060e-12       5.455654027903e-11 
   38       2.085706211736e-12       1.870819272078e-11       1.130663145406e-11       7.824648535570e-12                     -nan       5.251192861091e-12       5.175027461769e-11 
   39       1.983406174610e-12       1.778490319819e-11       1.076590232211e-11       7.446452288147e-12                     -nan       4.989040452561e-12       4.916808357259e-11 
