# Matter power spectrum P(k) at redshift z=0
# for k=1.04554e-05 to 125.152 h/Mpc,
# number of wavenumbers equal to 775
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045535428257e-05       5.030894235082e+01 
       2.335831463733e-05       1.093199028119e+02 
       3.630677232156e-05       1.673511183087e+02 
       4.933568560627e-05       2.250067538089e+02 
       6.248059263980e-05       2.826340305295e+02 
       7.577792941109e-05       3.404953021779e+02 
       8.926535790934e-05       3.988163354691e+02 
       1.029821088585e-04       4.578061035380e+02 
       1.169693434382e-04       5.176670041952e+02 
       1.312705384375e-04       5.786010900930e+02 
       1.459318992917e-04       6.408142784155e+02 
       1.610028053918e-04       7.045199204646e+02 
       1.765362918733e-04       7.699416924822e+02 
       1.925895717105e-04       8.373161793722e+02 
       2.092246012700e-04       9.068955653271e+02 
       2.265086913736e-04       9.789501580832e+02 
       2.445151642176e-04       1.053770890177e+03 
       2.633240539664e-04       1.131672195163e+03 
       2.830228452033e-04       1.212994186457e+03 
       3.037072383490e-04       1.298105675895e+03 
       3.254819242583e-04       1.387406214205e+03 
       3.484613410633e-04       1.481328768723e+03 
       3.727703745779e-04       1.580340964670e+03 
       3.985449489455e-04       1.684946658431e+03 
       4.259324367467e-04       1.795685913410e+03 
       4.550917980480e-04       1.913134034738e+03 
       4.861933372790e-04       2.037898320886e+03 
       5.194179480308e-04       2.170613649457e+03 
       5.549557031159e-04       2.311933874704e+03 
       5.930036465660e-04       2.462521035864e+03 
       6.337626632254e-04       2.623030512013e+03 
       6.774333482927e-04       2.794092600290e+03 
       7.242108799612e-04       2.976290240738e+03 
       7.742790146822e-04       3.170134361296e+03 
       8.278034691888e-04       3.376037588153e+03 
       8.849251071493e-04       3.594287825552e+03 
       9.457534802516e-04       3.825025262151e+03 
       1.010361346089e-03       4.068224184095e+03 
       1.078780764863e-03       4.323682112744e+03 
       1.151001247533e-03       4.591018434739e+03 
       1.226970201658e-03       4.869682904307e+03 
       1.306595639198e-03       5.158973098729e+03 
       1.389750833141e-03       5.458096090136e+03 
       1.476280396465e-03       5.766125720892e+03 
       1.566007147118e-03       6.082052701978e+03 
       1.658739125163e-03       6.404854749377e+03 
       1.754276223022e-03       6.733505142940e+03 
       1.852416039578e-03       7.066995341878e+03 
       1.952958733873e-03       7.404355902845e+03 
       2.055710802664e-03       7.744669167836e+03 
       2.160487820068e-03       8.087079176486e+03 
       2.267116251658e-03       8.430797349783e+03 
       2.375434493246e-03       8.775104083594e+03 
       2.485293294662e-03       9.119349102955e+03 
       2.596555720235e-03       9.462948256339e+03 
       2.709096778807e-03       9.805380652942e+03 
       2.822802832929e-03       1.014618329705e+04 
       2.937570873620e-03       1.048494797160e+04 
       3.053307725926e-03       1.082131541164e+04 
